	PhraseId	SentenceId	Phrase	Sentiment
0	6739	270	superbl	3.0
1	6477	257	admit	2.0
2	287	11	unless	2.0
3	2018	77	problem	1.0
4	7219	294	goldmemb	2.0
5	354	13	perform	2.0
6	9994	419	comedi	2.0
7	3237	121	blockbust	3.0
8	2227	84	sexi	4.0
9	2026	77	bulk	2.0
10	9533	397	sens	2.0
11	2207	83	connect	2.0
12	6111	243	beacon	2.0
13	423	15	damn	1.0
14	8360	347	affair	1.0
15	939	34	clich	1.0
16	2132	81	screenwrit	2.0
17	7945	323	interperson	2.0
18	1871	69	abov	2.0
19	7508	304	convent	2.0
20	6253	248	cinema	2.0
21	1048	38	fatal	2.0
22	1520	55	refresh	3.5
23	1402	52	final	2.0
24	9531	397	lose	2.0
25	9133	381	belief	2.0
26	1671	62	histori	2.0
27	7826	318	undertak	2.0
28	5499	218	workabl	2.0
29	1533	57	run	2.0
30	9879	413	bearabl	2.0
31	721	26	almost	2.0
32	3657	138	goe	2.0
33	8093	333	mysteri	2.0
34	7927	322	foreign	2.0
35	7135	289	pageturn	3.0
36	9062	378	desper	1.0
37	4695	179	attract	2.0
38	3486	129	paid	2.0
39	8352	346	grandeur	2.0
40	8302	345	embrac	2.0
41	1868	69	fantasia	2.0
42	1733	64	film	2.0
43	5385	215	slasher	2.0
44	3636	136	weirdli	1.0
45	4047	152	explos	2.0
46	5238	207	splendor	4.0
47	876	32	end	2.0
48	8163	337	filmmak	2.0
49	8410	349	achero	2.0
50	1061	39	soon	2.0
51	398	14	throw	2.0
52	90	3	ismail	2.0
53	3566	133	funnier	2.5
54	7943	323	sea	2.0
55	9229	386	rule	2.0
56	1246	46	storytel	2.25
57	3253	121	set	2.0
58	8852	368	orient	2.0
59	776	28	beyond	2.0
60	7621	308	deserv	2.0
61	3924	149	tarantula	2.0
62	8969	374	shiner	3.0
63	3770	143	frame	2.0
64	6762	270	mainstream	2.0
65	9021	376	honesti	3.0
66	1328	49	page	2.0
67	1797	66	pg13	3.0
68	872	32	poetri	2.5
69	1471	53	rest	2.0
70	6295	251	reassur	2.0
71	2033	77	wrong	1.0
72	6575	261	chew	2.0
73	8711	363	infantil	1.0
74	7321	298	countri	2.0
75	5825	232	usual	2.0
76	7651	310	judith	2.0
77	6568	261	bite	2.0
78	4621	175	blown	1.0
79	3351	126	mostli	2.0
80	7094	286	smart	3.6666666666666665
81	8692	361	fabl	2.0
82	4318	163	death	2.0
83	9451	393	aussi	2.0
84	8038	330	arnold	2.0
85	2997	113	viewer	2.0
86	8938	372	willi	2.0
87	7934	323	ignor	1.0
88	6094	243	ideal	3.0
89	2674	102	writer	2.0
90	5795	229	vent	2.0
91	1588	59	back	2.0
92	375	14	say	2.0
93	8508	352	longev	2.0
94	8468	351	simplist	2.0
95	4896	190	old	2.0
96	7297	297	warmest	3.0
97	5893	235	scous	2.0
98	4538	171	exercis	2.0
99	928	34	go	2.0
100	8669	360	scratch	2.0
101	2272	86	ed	2.0
102	8271	342	charact	2.0
103	7088	285	ii	2.0
104	8124	335	rawnerv	2.0
105	3377	127	affect	2.5
106	472	17	inspir	3.0
107	793	29	vapid	1.0
108	6004	240	singlehandedli	2.0
109	8445	351	white	2.0
110	5875	234	doze	2.0
111	7436	302	inject	2.0
112	7767	315	lowerclass	2.0
113	8789	366	destini	2.0
114	8607	357	gone	2.0
115	3796	144	tender	2.5
116	12	1	demonstr	2.0
117	3323	125	honest	4.0
118	8151	336	annoy	0.0
119	8008	328	unfairli	1.0
120	9339	389	everyman	2.0
121	9456	393	channel	2.0
122	5996	240	presid	2.0
123	9828	409	1972	2.0
124	3912	149	freak	2.0
125	2468	94	quirki	2.0
126	8557	354	purport	3.0
127	4781	182	base	2.0
128	7339	300	spark	2.0
129	3186	120	polanski	2.0
130	7120	288	trembl	2.0
131	349	12	remain	2.0
132	4170	157	capabl	2.0
133	1477	53	overexpos	1.0
134	7019	281	incoher	1.0
135	6993	280	direct	2.0
136	7667	310	intim	2.0
137	2252	86	flatli	1.0
138	618	22	polit	2.0
139	254	9	nt	2.0
140	3933	149	bmovi	1.0
141	1780	66	reek	1.5
142	4128	156	director	2.0
143	3792	144	sentiment	2.0
144	689	25	plot	2.0
145	8840	367	lust	3.0
146	5319	211	damon	2.0
147	6895	276	sarah	2.0
148	4104	154	put	2.0
149	204	7	troubl	1.0
150	8990	374	come	2.0
151	738	27	exclus	2.0
152	695	25	romant	2.0
153	6860	275	solondz	2.0
154	3178	119	succeed	3.0
155	6404	254	anim	2.0
156	3452	128	sc	2.0
157	8461	351	abhorr	1.0
158	2579	98	improv	1.0
159	4484	169	paradiso	2.0
160	9816	408	suspens	2.5
161	6737	269	wood	2.0
162	244	8	bartlett	2.0
163	9896	414	swallow	2.0
164	8839	367	cannib	1.0
165	802	29	structur	2.0
166	148	4	shakespearean	2.0
167	92	3	merchant	2.0
168	5245	208	welldon	3.0
169	5287	209	bent	2.0
170	8301	345	deed	2.0
171	6136	244	cuss	2.0
172	6369	253	unknown	2.0
173	8642	358	invest	2.0
174	5929	236	contemporari	2.0
175	8877	369	funniest	4.0
176	611	22	apart	2.0
177	4834	185	42	2.0
178	4506	170	middl	2.0
179	9111	380	dream	2.0
180	5985	240	chronicl	2.0
181	8915	372	like	2.0
182	5753	228	wellintent	3.0
183	2086	79	involv	2.0
184	2607	100	furrow	2.0
185	2390	91	solut	2.0
186	1312	49	tackl	2.0
187	2723	104	tri	1.6666666666666667
188	6968	279	swear	2.0
189	6232	248	sillier	1.0
190	1376	51	tvmovi	2.0
191	4444	167	owe	2.0
192	4968	193	comalik	2.0
193	1596	59	cradl	2.0
194	3066	115	swing	2.0
195	7136	289	frenzi	2.0
196	4225	160	relay	2.0
197	6641	264	bear	2.0
198	9689	403	spader	2.0
199	7077	285	origin	2.6666666666666665
200	6106	243	shine	4.0
201	8830	367	tasti	3.0
202	4917	191	dragon	1.5
203	2004	75	common	2.0
204	3173	119	cheap	0.0
205	1367	50	ever	2.0
206	4790	183	style	2.0
207	1758	66	transpar	2.0
208	4940	192	dramat	3.0
209	2038	78	swimfan	2.0
210	4932	191	disappoint	0.0
211	6582	261	armenian	2.0
212	1504	54	silli	3.0
213	5177	204	catch	2.0
214	3217	120	befor	2.0
215	8953	373	releas	2.0
216	6511	259	increasingli	2.0
217	8273	342	strive	3.0
218	5711	226	teenag	2.0
219	4946	192	happen	2.0
220	4377	165	brilliantli	4.0
221	1137	42	vincent	2.0
222	9383	390	artifici	1.6666666666666667
223	1145	42	home	2.0
224	1254	46	horrifi	1.5
225	5439	217	superflu	2.0
226	9589	399	exist	2.0
227	6345	252	man	3.0
228	3107	117	perfect	4.0
229	499	18	love	3.0
230	2694	103	record	2.0
231	4176	157	sooth	2.0
232	7377	301	ivan	2.0
233	1335	50	bloodi	1.0
234	9140	381	take	2.0
235	6015	240	hardbitten	2.0
236	5657	224	instanc	2.0
237	3378	127	portrait	2.0
238	9953	417	scene	2.0
239	7965	324	passion	3.0
240	7260	295	spear	2.0
241	9666	403	hour	2.0
242	854	32	hamper	2.0
243	3880	147	beaten	1.0
244	3897	148	moment	2.0
245	6935	277	joke	2.0
246	215	8	import	2.0
247	530	19	aveng	2.0
248	4072	153	awar	2.0
249	785	28	actor	2.0
250	2738	105	mom	2.0
251	382	14	in	2.0
252	5881	235	thoughtless	1.0
253	9650	402	write	2.0
254	859	32	paralyz	1.0
255	599	22	publish	2.0
256	1232	46	truecrim	2.0
257	7466	303	spoof	2.0
258	995	36	hero	2.0
259	4841	185	x	2.0
260	8908	372	frailti	2.0
261	5824	232	busi	2.0
262	2204	83	quick	2.0
263	3621	135	effort	2.0
264	3838	146	monster	1.0
265	2798	107	cost	2.0
266	5355	213	lusciou	3.0
267	2261	86	bare	2.0
268	6434	255	flash	2.0
269	6172	245	creepi	1.0
270	4964	193	parent	2.0
271	8246	342	spare	2.0
272	7591	308	allen	2.0
273	3272	123	forgett	1.0
274	9965	418	walk	2.0
275	6600	262	dwindl	1.0
276	7980	326	smackdown	2.0
277	2669	102	malcolm	2.0
278	3450	128	myrtl	2.0
279	3815	145	psycho	1.5
280	6083	243	commerci	2.0
281	1772	66	embarrassingli	1.0
282	1839	67	lunat	2.0
283	3027	114	threaten	1.0
284	309	12	kung	2.0
285	5170	204	pictur	2.0
286	1754	65	fun	4.0
287	5625	223	dumbeddown	1.0
288	4303	163	creatur	2.0
289	94	3	work	2.0
290	619	22	ramif	2.0
291	5603	223	blend	2.0
292	3651	138	although	2.0
293	2043	78	eventu	2.0
294	5949	237	hair	2.0
295	2788	107	thought	3.0
296	9903	414	selfexpress	2.0
297	4179	157	heart	2.0
298	7879	320	comingofag	2.0
299	4141	156	movi	2.0
300	4689	179	craft	3.0
301	8821	367	cat	2.0
302	1331	49	memor	4.0
303	6659	264	contact	2.0
304	9257	386	tax	2.0
305	4151	156	exampl	2.0
306	7018	281	vile	1.0
307	1600	59	veil	2.0
308	6770	271	mesmer	4.0
309	9227	386	figur	2.0
310	5541	219	dud	1.0
311	4360	165	shainberg	2.0
312	4646	176	pool	2.0
313	5530	219	career	2.0
314	8739	364	mar	2.0
315	5270	209	bond	2.0
316	6963	279	dungpil	0.5
317	4747	181	threetoon	2.0
318	1131	41	rut	1.0
319	1554	58	kooki	2.0
320	4162	156	rhapsod	2.0
321	3248	121	last	2.0
322	6937	277	flat	1.0
323	1303	48	point	2.0
324	3960	149	condit	2.0
325	368	14	ha	2.0
326	7503	304	begin	2.0
327	7210	293	reckless	2.0
328	7623	308	right	2.0
329	7798	316	counterpart	2.0
330	5291	209	domin	2.0
331	5500	218	primer	2.0
332	2318	89	show	2.0
333	3127	118	year	2.0
334	781	28	wild	2.0
335	6301	251	sung	2.0
336	1272	47	mamet	2.0
337	980	36	unnam	2.0
338	4411	166	shock	2.0
339	6240	248	first	2.0
340	4785	183	evok	3.0
341	7384	301	fellow	2.0
342	6747	270	stage	2.0
343	3136	118	compress	2.0
344	6714	269	confid	4.0
345	1223	45	option	2.0
346	9259	386	einstein	2.0
347	2871	110	selfparodi	2.0
348	5111	200	navig	2.0
349	7727	313	ticket	2.0
350	8115	335	cast	2.0
351	2419	93	much	2.0
352	9762	406	soulless	1.0
353	9442	392	miller	2.0
354	3805	145	let	2.0
355	3975	150	focus	2.0
356	719	26	mongrel	1.0
357	4561	173	heavi	2.0
358	442	16	mythic	2.0
359	239	8	read	2.0
360	1007	37	feel	2.0
361	1562	58	spooki	2.0
362	9545	397	fail	0.5
363	8761	365	situat	2.0
364	1306	49	jone	2.0
365	464	17	charmer	3.0
366	4631	176	start	2.0
367	7518	304	medit	2.0
368	9402	391	prove	2.0
369	4685	179	beauti	3.5
370	9763	406	ineptli	1.0
371	4537	171	actingworkshop	2.0
372	6984	280	addit	2.0
373	4767	182	famili	3.0
374	5836	233	mindless	1.0
375	8618	358	establish	2.0
376	2664	102	achiev	2.6666666666666665
377	9090	380	combin	2.0
378	399	14	us	3.0
379	7921	322	logic	2.0
380	3122	117	wallflow	2.0
381	8046	331	surfac	2.0
382	2295	87	great	4.0
383	3606	134	tolstoy	2.0
384	9520	396	roll	2.0
385	79	2	worth	2.0
386	7439	302	fresh	3.5
387	5187	206	smartli	3.0
388	7204	293	hostil	1.0
389	5814	231	madmen	2.0
390	2909	111	believ	2.0
391	3466	128	lunch	2.0
392	1031	38	rambl	1.0
393	1622	60	tragedi	1.0
394	553	21	best	3.0
395	5142	202	well	3.0
396	6220	246	gener	3.0
397	4782	182	melodrama	2.0
398	9910	415	kouyat	2.0
399	3627	135	open	3.0
400	2688	103	also	2.0
401	2029	77	center	3.0
402	7862	320	substant	3.0
403	6648	264	obscur	2.0
404	933	34	maker	2.0
405	881	32	satir	2.0
406	4959	193	children	2.3333333333333335
407	3742	142	face	2.0
408	8870	369	hand	2.0
409	103	3	would	2.0
410	3504	130	hew	2.0
411	3970	150	errol	2.0
412	2750	106	swedish	3.0
413	1202	44	100minut	2.0
414	1108	41	team	3.0
415	2217	83	list	2.0
416	654	24	norri	2.0
417	6273	249	laugh	3.0
418	2687	103	epic	3.0
419	62	1	stori	2.0
420	2518	96	emot	2.0
421	1998	75	still	2.0
422	7183	293	element	2.0
423	4286	163	know	2.0
424	1154	42	play	2.0
425	1083	39	unexpect	2.0
426	4899	190	cap	2.0
427	7140	289	creat	2.0
428	5130	201	funni	2.0
429	5871	234	fight	2.0
430	1817	67	get	2.0
431	6950	278	toothless	1.0
432	9822	409	skim	2.0
433	5087	198	selfsatisfact	2.0
434	9047	377	fantasi	3.0
435	4858	186	grossout	2.0
436	334	12	martialart	2.0
437	7735	314	matter	2.0
438	9463	393	guy	2.0
439	8782	366	sex	2.0
440	9268	387	feardotcom	2.0
441	3812	145	human	2.0
442	9607	400	abl	3.0
