	PhraseId	SentenceId	Phrase	Sentiment
0	8041	331	though onli scratch surfac	1.0
1	119872	6412	film franchis	2.0
2	103126	5439	compet direct	3.0
3	120338	6433	doe spiderman deliv suspect might deliv	4.0
4	128011	6886	lrb macdowel rrb ventur beyond abil sever time reveal bad actress	0.0
5	13636	584	green stori end	2.0
6	133591	7207	cover thi territori wit origin suggest hi fourth featur	4.0
7	137164	7418	peculiar tension	2.5
8	44418	2153	one level anoth	2.0
9	101753	5357	thi absolut complet ridicul insult everi famili whose mother ha suffer horribl pain death cancer	0.0
10	25273	1155	feel especi thin stretch over nearli 80minut run time	1.0
11	48862	2385	tast attitud	2.0
12	7603	308	hi way say piffl airhead movi busi deserv right	0.5
13	102506	5396	graphic sex may attract audienc unfaith	2.333333333333333
14	133548	7205	titl sequenc	2.0
15	124941	6715	real humor	3.0
16	149466	8135	88	2.0
17	98173	5144	slide down	2.0
18	61979	3135	good energet frontman	3.5
19	50827	2500	alia	2.0
20	101725	5355	eventu work way up mere bad rather pain aw	0.5
21	146729	7981	hugh goo	2.0
22	42714	2062	lrb bestsel writer selfhelp book ca nt help rrb	1.0
23	152779	8337	evergreen	2.0
24	49018	2394	film final hour nearli previou unseen materi resid unconvinc soap opera tornator wa right cut	1.0
25	110694	5865	smuggl	2.0
26	112098	5950	disorient	1.0
27	142905	7756	well flatul gag fit holiday concept	2.0
28	47830	2331	direct spielberg	2.5
29	88345	4589	film messag toler divers nt particularli origin one ca nt help drawn in sympathet charact	3.0
30	27655	1269	in glitter	2.0
31	48736	2380	charact move often predict consequ	1.0
32	31757	1488	surest bet allaround good time movi thi summer	4.0
33	5265	208	griev	2.0
34	27925	1282	lrb madonna rrb within film first five minut	2.0
35	131318	7076	includ spectacl gere in hi danc shoe	2.0
36	23408	1061	local video store	2.0
37	123663	6640	imit movi	0.5
38	19929	884	made sheerli beauti film	3.0
39	15779	676	surprisingli	2.333333333333333
40	116583	6217	wo nt swing tree hoot prais	1.0
41	55117	2748	keep total rehash	2.0
42	36399	1721	pseudorockvideo open	2.0
43	90637	4718	venezuelan	2.0
44	147127	8006	adventur directtovideo nash	0.5
45	34218	1608	impuls produc thi project commend result uneven	1.5
46	22007	988	suspend belief not holm perform	2.0
47	138903	7529	leap one arrest imag anoth	3.0
48	125816	6758	onto hi head	2.0
49	69042	3507	in glorious goofi way	3.0
50	118817	6350	like spectat not particip	1.0
51	70315	3583	cheapen overal effect	1.0
52	4333	164	rather convolut	1.0
53	112579	5979	stark straightforward deadli	2.6666666666666665
54	23870	1084	reap	2.0
55	32218	1509	need floppi hair selfdeprec stammer	2.0
56	25467	1165	not make fun peopl not laugh	2.0
57	88356	4589	one ca nt help drawn in sympathet charact	3.0
58	95859	5009	acknowledg	2.0
59	73019	3729	anthoni asquith acclaim 1952 screen adapt	2.5
60	152400	8316	level telanovela	2.0
61	9592	399	would veri sweet inde	2.5
62	120789	6463	too calm thought agitprop	1.5
63	76211	3910	like igbi	2.0
64	33049	1549	find rhythm protect script bad idea awkward	1.5
65	5179	205	feel slight	2.0
66	138304	7486	anim back	2.0
67	54252	2695	jackal french connect heat	2.0
68	125814	6758	ten feet onto hi head	2.0
69	42264	2034	busi plan	3.0
70	148473	8079	act fine not enough substanc sustain interest full 90 minut especi weak payoff	1.5
71	116927	6238	could nt brought someth fresher proceed simpli accid	2.333333333333333
72	139091	7540	made teen	2.0
73	790	29	vapid actor exercis appropri structur arthur schnitzler reigen	1.5
74	54215	2693	movi essenti seri fleetingli interest actor moment	2.0
75	70435	3590	bombast	2.0
76	66571	3378	nt much fun without high low	1.5
77	25867	1184	social anthropolog	2.0
78	18421	807	execr	0.0
79	134836	7278	ong promis debut	3.0
80	102496	5394	windinthehair exhilar	4.0
81	30885	1437	typic documentari footag	2.0
82	154989	8479	abundantli clear	2.0
83	59717	3011	way barri motiv	2.0
84	46443	2258	could wrap thing up 80 minut	1.0
85	99690	5230	clayburgh tambor charm perform neither deserv eric schaeffer	2.0
86	110156	5833	buoyant feel	4.0
87	68881	3499	pay less attent miniseri attent film	2.0
88	49162	2402	cast palestinian isra children	2.0
89	37711	1793	air condit popcorn	2.5
90	144612	7850	know band album song	2.0
91	145271	7893	ought play villain	2.0
92	91693	4771	flawless amount act direct stori pace	4.0
93	2149	82	phillip noyc	2.0
94	21964	984	red dragon never cut corner	3.5
95	91633	4767	partli shallow rumin empti success	1.3333333333333333
96	60900	3075	disarmingli	3.0
97	7650	310	judith	2.0
98	80279	4137	in flipflop courtship	2.0
99	141643	7684	much shorter	2.0
100	131566	7090	few nonbeliev may rethink attitud see joy charact take in thi creed skeptic nt like enter theater	2.0
101	119386	6384	cloth	2.0
102	83031	4286	rymer doe nt trust laugh doe nt conjur proper respect follow whole deadundead genr deserv vampir pic few shrieki special effect	1.0
103	127663	6866	achingli sad	1.0
104	109693	5813	sort lowgrad dreck usual goe straight video lousi script inept direct pathet act poorli dub dialogu murki cinematographi complet visibl boom mike	0.0
105	100561	5277	collaps exactli kind buddi cop comedi	0.0
106	150576	8206	buy movi milk	2.0
107	103083	5434	move not infrequ breathtak film	3.6666666666666665
108	82360	4252	fare	2.0
109	42020	2022	total promis	3.0
110	54964	2738	poutylip poof	1.0
111	64138	3245	ballast	2.0
112	89405	4648	wa written no one	1.0
113	114773	6108	christma futur	2.0
114	119427	6386	state ani contemporari movi thi year	3.0
115	110486	5853	stuck around	2.0
116	114171	6071	extra heavyduti rope would need keep float away	1.5
117	106514	5624	overwhelm wast	0.6666666666666666
118	141398	7671	not quit career peak	1.0
119	4159	156	allenvelop movi experi	3.5
120	85247	4407	movi star icet in major role	2.0
121	76819	3950	cipher	2.0
122	132201	7127	time space convinc us	2.0
123	47285	2304	acut express	3.0
124	79115	4074	manipul exploit piec usual worst guilttrip parent	1.0
125	8811	367	anyon ha seen hunger cat peopl	2.0
126	7593	308	make piffl long	1.0
127	61176	3092	manag deliv fair bit vampir fun	2.5
128	47907	2336	superfici written charact rambl	1.0
129	77884	4006	fewer deliber laugh inadvert one stunningli trite song	1.0
130	155547	8513	look ahead resist live in past	2.0
131	82927	4281	misguid illinform	1.3333333333333333
132	83902	4336	mr dong continu explor	2.0
133	67581	3430	24andund	2.0
134	123618	6638	succeed in alien viewer	1.0
135	43056	2078	carri out men margin intellig	1.0
136	11867	510	donovan	2.0
137	17620	763	fessenden	2.0
138	122774	6586	deem import enough make film in someon ha hire portray richard dawson	3.0
139	135786	7335	impli terror suggest rather overus special effect	3.0
140	68148	3459	gari fleder	2.0
141	4862	187	great deal corni dialogu preposter moment	0.6666666666666666
142	152108	8299	brought back valu respect term epic cinema	3.6666666666666665
143	43894	2127	dian	2.0
144	11654	502	vulgar innuendo	1.0
145	11201	482	classi in 60	2.0
146	19466	853	right rank player oncamera	2.0
147	27700	1271	contemporari southern adolesc	2.0
148	94238	4918	michael jackson	2.0
149	118864	6352	screenwrit process	2.0
150	13001	560	peralta captur in lumin interview amazingli evoc film three decad ago essenc dogtown experi	4.0
151	45369	2205	whose aim extens accomplish seem decept slight surfac	2.0
152	138756	7520	libidin young citi dweller	2.0
153	154237	8427	indec propos	2.333333333333333
154	56038	2802	movi rather choppi	0.0
155	9204	384	few real laugh	2.0
156	137033	7412	play fair audienc	2.0
157	4580	173	far too much	1.0
158	3218	120	sourc hi spiritu surviv	2.0
159	48606	2373	compens movi fail	1.0
160	31884	1493	out strongli	2.0
161	87909	4565	artless sytl	1.5
162	65131	3295	creat new threat mib recycl premis	1.5
163	124559	6692	exquisit sad	2.0
164	71862	3667	kill neighbor dog	2.0
165	133067	7177	make everyth seem selfconsci poetic forc	2.0
166	71045	3622	uncondit love	2.0
167	90182	4694	comingofag portrait	3.0
168	42359	2041	eddi murphi robert de niro	2.0
169	97055	5072	break tedium	1.5
170	31343	1466	thi vapid vehicl	2.0
171	97860	5123	uneven selfconsci often hilari spoof	3.0
172	63421	3209	veri silli	2.0
173	106359	5615	veri obvious	2.0
174	125003	6718	would lot better pare down plot charact few rather dozen subtler sens humor	1.0
175	145479	7907	thi strut	2.0
176	143819	7805	too fleet	1.0
177	4706	179	nostalg twisti yarn keep guess	3.0
178	143344	7781	infus hubert mixtur deadpan cool wri humor measur tender requir give thi comic slugfest heart	3.5
179	144777	7859	in stori somewhat predict plot	1.0
180	144234	7828	counten	3.0
181	109518	5801	mark polit courag	2.5
182	78978	4063	squaddi banter	2.0
183	78660	4048	around neck director nick cassavet	2.0
184	11366	488	movi becaus present standard allow plenti nuditi	2.0
185	134108	7237	struggl tragic comprehend chasm knowledg open	2.5
186	64567	3268	supposedli pokemon ca nt kill pokemon 4ever practic assur pocket monster movi franchis nearli readi keel over	1.0
187	110371	5845	yet in realiti one tough rock	2.0
188	116598	6218	gentl engross charact studi	3.0
189	44632	2164	in hi hypermasculin element onc	2.0
190	100593	5279	dispossess	2.0
191	56425	2831	fairli runofthemil	1.0
192	1105	41	tartakovski team	2.0
193	103407	5452	weigh down tale bogu profund	0.5
194	45276	2202	keep thing move along brisk amus pace	3.0
195	92627	4826	bigbudgetallstar movi unblinkingli pure hour	3.0
196	85208	4406	wildli overproduc inadequ motiv everi step	0.0
197	93735	4888	good case	2.0
198	35890	1693	corblimeyluvaduck	2.0
199	20767	927	onli sexi	2.0
200	131356	7078	inevit doubl triplecross	2.0
201	100084	5251	begin fade memori	1.0
202	138229	7481	steven spielberg bring us anoth masterpiec	4.0
203	54813	2730	certainli clever in spot thi toolong spoofi updat shakespear macbeth doe nt sustain high enough level invent	1.0
