	PhraseId	SentenceId	Phrase	Sentiment
0	1060	39	too soon	2
1	5321	211	bring proper convict hi role lrb jason bourn rrb	3
2	3302	124	sarah	2
3	4107	154	weight	2
4	9698	403	tell heart sweet littl girl	4
5	6764	270	rare	2
6	8300	345	mr deed	2
7	5080	198	lose smug selfsatisfact usual associ better privat school	1
8	3747	142	slapstick	3
9	4740	181	outnumb hit threetoon	2
10	1993	75	clip	2
11	47	1	amus	3
12	2658	102	surprisingli solid achiev	4
13	7715	313	solid spooki entertain worthi price ticket	3
14	6168	245	keep	2
15	6099	243	godfrey reggio career	2
16	2212	83	spielberg	2
17	691	25	romant comedi boilerpl start finish	3
18	9720	404	final effect like two guy yell in face two hour	1
19	9368	390	everybodi els in background	3
20	4209	159	tryingli titl	2
21	8621	358	realist atmospher	3
22	1897	70	york	2
23	9777	406	95minut commerci	0
24	9596	399	veri sweet	3
25	6505	258	genuin	2
26	4720	180	awkwardli contriv exercis in magic realism	0
27	992	36	terror	1
28	3322	125	honest insight	3
29	9271	387	make interest medit ether natur internet otherworldli energi could channel	3
30	3182	120	mr polanski in hi element alon abandon still consol hi art ha ever reveal befor sourc hi spiritu surviv	3
31	6275	249	fairli basic comed construct	2
32	6643	264	grievou obscur complaint	2
33	3071	115	make seem	3
34	2312	88	big screen	2
35	8720	363	overthetop	2
36	3842	146		2
37	5908	236	standard	1
38	5672	225	improv upon experi stare blank screen	2
39	2831	108	wisecrack mysteri scienc theater 3000 guy	3
40	8043	331	onli scratch surfac	1
41	2587	99	not	2
42	2186	82	screen	2
43	8773	365	prom date	2
44	8962	374	like shiner organ big fight pull enough	3
45	2700	103	human fighter	2
46	2321	89	slice	2
47	3135	118	compress evanesc seamless sumptuou stream conscious	3
48	3559	133	kind	3
49	3214	120	reveal befor sourc hi spiritu surviv	3
50	4957	193	intend	2
51	3188	120	in hi element	4
52	4504	170	in middl sad in middl hope	2
53	6309	252	camouflag	2
54	3825	146	like world hi film	2
55	8459	351	true	3
56	1161	42	boy	2
57	1409	52	come down miramax deep shelv	2
58	4250	161	head	2
59	6516	259	creat film one honestli describ look sound simpli feel like no film in recent histori	3
60	5634	224	huge	2
61	3021	113	product	2
62	3437	128	promenad bare clad bodi in myrtl beach sc	2
63	8673	361	bigelow offer flashi twist turn occasion fortifi thi turgid fabl	3
64	7212	293	retali	2
65	5413	216	trust audienc understand complex stori	2
66	326	12	childhood	2
67	6941	277	fake	1
68	4061	153	few cool actor	1
69	5126	201	nt funni	1
70	4009	152	scientif law discern produc would well heed	1
71	104	3	hard time sit thi one	0
