	PhraseId	SentenceId	Phrase	Sentiment
0	237	8	read bartlett familiar quotat	2.0
1	419	15	better judgment	2.0
2	253	9	doe	2.0
3	486	18	mr	2.0
4	725	26	complic	1.0
5	673	24	windtalk	2.0
6	128	4	ethnographi	2.0
7	871	32	aim	2.0
8	169	6	comedydrama	2.0
9	428	16	welcom	2.0
10	933	34	maker	2.0
11	8	1	escapad demonstr adag good goos	2.0
12	589	22	studi gambl publish world	2.0
13	780	28	wild	2.0
14	342	12	dream youth	3.0
15	531	19	aveng	2.0
16	100	3	suspect	2.0
17	678	24	indic	2.0
18	148	4	shakespearean	2.0
19	494	18	mood	3.0
20	326	12	childhood	2.0
21	639	23	defend	3.0
22	296	11	dialogu	2.0
23	259	9	much	2.0
24	647	23	exgirlfriend	2.0
25	510	18	despit mainland set	2.0
26	567	22	hatfield hick make oddest coupl	2.0
27	26	1	goos	2.0
28	726	27	film clearli mean preach exclus convert	2.0
29	658	24	grenad	1.0
30	174	6	nearli	2.0
31	435	16	tri too hard mythic	1.0
32	847	31	action	2.0
33	565	22	hatfield hick make oddest coupl in thi sens movi becom studi gambl publish world offer case studi exist apart movi polit ramif	3.0
34	532	19	wild wild west	3.0
35	765	28	give us	2.0
36	389	14	distort perspect throw us path good sens	2.0
37	756	28	occasion smile	3.0
38	685	24	film	2.0
39	621	23	like go hous parti watch host defend froth exgirlfriend	1.0
40	292	11	clich dialogu pervers escap	1.0
41	457	16	win stori	3.0
42	220	8	earnest thick wit play like read bartlett familiar quotat	2.0
43	168	6	comedydrama nearli epic proport	3.0
44	447	16	sweet modest ultim win stori	3.3333333333333335
45	924	34	veri littl sens	1.0
46	691	25	romant comedi boilerpl start finish	3.0
47	635	23	host defend froth exgirlfriend	2.0
48	78	2	worth seek	4.0
49	335	12	flick	2.0
50	965	35	full monti	2.0
51	587	22	becom studi gambl publish world	2.0
52	817	30	vaudevil	2.0
53	599	22	publish	2.0
54	375	14	say	2.0
55	297	11	pervers escap	2.0
56	406	14	good sens	3.0
57	364	14	fresnadillo ha someth seriou say way in extravag chanc distort perspect throw us path good sens	3.0
58	839	30	rather	2.0
59	417	15	mile	2.0
60	684	24	seriousmind	2.0
61	291	11	clich dialogu pervers escap sourc high hilar	1.0
62	882	33	ice age first computergener featur cartoon feel like movi make glacial pace earli	2.0
63	35	1	gander	2.0
64	729	27	clearli mean	2.0
65	491	18	in mood love veri much hong kong movi	2.0
66	183	6	sincer perform	4.0
67	988	36	whatev terror hero horror movi tri avoid	2.0
68	462	17	bilingu charmer	3.0
69	33	1	gander occasion amus none amount much stori	1.5
70	409	15	still like moonlight mile better judgment damn	3.0
71	734	27	preach exclus convert	1.5
72	271	10	reason	2.0
73	895	33	computergener featur cartoon	2.0
74	771	28	in theater	2.0
75	974	36	unnam easili substitut forc serv whatev terror hero horror movi tri avoid	2.0
76	350	12	remain	2.0
77	357	13	absolut joy	3.0
78	906	33	make glacial pace earli	2.0
79	759	28	chuckl	1.0
80	662	24	occur 7 time dure windtalk good indic seriousmind film	2.0
81	46	1	amus none amount much stori	2.0
82	166	5	whitewash	2.0
83	275	11	littl recommend snow dog unless one consid clich dialogu pervers escap sourc high hilar	1.0
84	135	4	betray deceit murder	2.0
85	173	6	nearli epic	4.0
86	477	18	less dizzili gorgeou companion	2.0
87	125	4	combin	2.0
88	920	34	veri littl sens go	0.6666666666666666
