	PhraseId	SentenceId	Phrase	Sentiment
0	27723	1273	unwilling	2.0
1	57409	2893	slowli	1.5
2	66594	3379	totalitarian	1.0
3	57250	2884	capra	2.0
4	129157	6945	eighthgrad	3.0
5	42415	2044	german	2.0
6	8955	373	1990	2.0
7	33088	1551	terri	2.0
8	21519	963	taymor	2.0
9	8175	338	highlyprais	3.0
10	96676	5049	categor	2.0
11	132946	7170	farflung	1.0
12	5362	214	singularli	2.0
13	24977	1138	cornbal	2.0
14	32879	1539	misconstru	1.0
15	12824	552	betterfocus	3.0
16	113829	6049	crib	2.0
17	135161	7295	avenu	2.0
18	130724	7042	rb	2.0
19	55131	2749	loung	2.0
20	17716	767	biscuit	2.0
21	10023	421	throat	2.0
22	155058	8486	wive	2.0
23	34979	1645	whimper	2.0
24	151765	8281	coo	2.0
25	93437	4871	congeni	2.0
26	21097	943	napoleon	2.0
27	128248	6900	cough	2.0
28	65221	3300	successor	2.0
29	72680	3712	secondhand	1.5
30	152060	8296	rd	2.0
31	24099	1094	templ	2.0
32	137970	7464	fidel	2.0
33	147103	8005	800	2.0
34	58501	2948	prescrib	3.0
35	87601	4548	mid	2.0
36	51843	2557	thirtythre	2.0
37	136149	7357	cookiecutt	2.0
38	38206	1817	lush	2.6666666666666665
39	28746	1331	bugsi	2.0
40	100473	5271	hardest	3.0
41	147425	8021	monstersci	2.0
42	97213	5082	liveli	2.6666666666666665
43	65223	3301	bibbidybobbidibland	0.0
44	68981	3503	krawczyk	2.0
45	131378	7078	consiglier	2.0
46	2204	83	quick	2.0
47	138243	7482	dosha	2.0
48	23968	1088	repress	1.0
49	25043	1142	discurs	1.5
50	121434	6505	moros	2.0
51	14297	616	inept	1.0
52	68429	3472	galvan	2.0
53	29082	1346	movieindustri	2.0
54	54998	2740	unassum	1.0
55	946	35	cattaneo	2.0
56	81586	4207	bargainbas	1.0
57	69621	3540	weigh	2.0
58	40437	1933	boombam	2.0
59	127789	6872	scarfac	2.0
60	86060	4454	threshold	2.0
61	23365	1059	elect	2.0
62	54266	2696	disclos	2.0
63	156047	8544	herrmann	2.0
64	68968	3503	wasabi	2.0
65	100787	5294	untal	1.0
66	43630	2112	nonexploit	2.0
67	148263	8068	theorist	2.0
68	110310	5842	chirpi	2.0
69	103311	5447	buffet	2.0
70	599	22	publish	2.0
71	12438	532	uncanni	3.0
72	10293	433	eurotrash	1.0
73	54957	2737	sixth	2.0
74	12256	524	nausea	1.0
75	53712	2667	halo	2.0
76	44546	2158	fudg	2.0
77	1590	59	forth	2.0
78	111422	5911	deer	2.0
79	13818	595	ditti	2.0
80	53637	2663	depressingli	2.0
81	6600	262	dwindl	1.0
82	83937	4337	increas	2.0
83	12373	529	modestli	3.0
84	51789	2554	archetyp	2.0
85	141975	7700	daddi	2.0
86	3450	128	myrtl	2.0
87	92321	4805	pratfal	2.0
88	27941	1282	regain	2.0
89	13804	595	boldli	2.0
90	47610	2321	gaunt	1.0
91	121608	6517	shimmer	2.5
92	96099	5020	ka	2.0
93	4748	181	threetoon	2.0
94	155532	8513	graciou	3.0
95	28615	1323	controlaltdelet	1.0
96	38432	1830	cleaner	2.5
97	109778	5816	slc	2.0
98	103641	5465	chiefli	2.0
99	14622	630	newcom	2.0
100	83830	4332	schmaltz	1.5
101	60476	3053	misunderstand	2.0
102	1315	49	meati	3.0
103	99980	5246	machineri	2.0
104	3651	138	although	2.0
105	41332	1984	irredeem	2.0
106	68703	3491	behan	2.0
107	20215	900	sweetli	2.0
108	50364	2476	1973	2.0
109	153211	8367	instructor	2.0
110	106064	5599	bing	2.0
111	8691	361	turgid	1.0
112	14333	617	outerspac	2.0
113	120415	6438	slowest	1.0
114	1732	64	rightthink	2.0
115	9547	397	twitchi	2.0
116	11933	511	romanek	2.0
117	103960	5482	ravish	3.0
118	58433	2944	slime	1.0
119	20938	934	twaddl	2.0
120	118154	6311	todo	2.0
121	103533	5460	woe	1.0
122	80837	4165	funk	1.5
123	134154	7240	pastich	2.0
124	63359	3206	163	2.0
125	19759	870	cash	2.0
126	67140	3408	janey	3.0
127	109585	5806	brawn	2.5
128	130902	7055	expand	2.0
129	104793	5533	forbear	1.0
130	50944	2508	whoop	2.0
131	53627	2661	fallen	1.0
132	97119	5077	copmovieland	2.0
133	18972	833	stein	2.0
134	6825	274	weil	2.0
135	26950	1237	georgianisra	2.0
136	53487	2651	womanhood	2.0
137	23881	1084	weaponri	2.0
138	13523	581	expound	2.0
139	51993	2564	tequila	2.0
140	1417	52	miramax	2.0
141	64962	3287	7thcenturi	2.0
142	35510	1671	upbeat	3.0
143	24724	1127	sundanc	2.0
144	9132	381	belief	2.0
145	21419	957	stagnat	1.0
146	72642	3709	violinist	2.0
147	61081	3085	jovial	3.0
148	31569	1477	coffe	3.0
149	12771	550	defi	2.0
150	53089	2634	antidot	2.5
151	66314	3363	privileg	2.0
152	28127	1292	sweetest	2.0
153	16439	707	reel	2.0
154	65358	3309	sayl	2.0
155	33901	1591	crossroad	2.0
156	19819	874	epitaph	2.0
157	88600	4603	atlant	2.0
158	18000	784	beer	2.0
