	PhraseId	SentenceId	Phrase	Sentiment
0	20685	923	encourag see threedimension averag middleag woman experi selfdiscoveri handl sensit	3.6666666666666665
1	134482	7254	uncomfort time relev	3.0
2	71670	3657	film drumbeat authent	2.0
3	116520	6213	sit enjoy certain level forget	2.0
4	106992	5649	wellmean patron mask social injustic least repres thi case	1.6666666666666667
5	145547	7912	mani	2.0
6	103413	5452	profund	2.5
7	140286	7613	persuad	2.6666666666666665
8	105348	5562	compel plot	3.0
9	90212	4695	darkest varieti	1.25
10	105649	5577	approach	2.0
11	51360	2529	hook	2.25
12	7332	300	mani actor	2.0
13	50939	2508	no big whoop noth new see	1.0
14	130806	7048	captiv drama speak nonconformist in us	3.0
15	24221	1101	selfabsorb women mother	1.5
16	17077	740	doe in execut	2.0
17	27340	1255	shred fabric film	1.0
18	94682	4941	rather like trap weird rel trot out video took famili vacat stoneheng	0.5
19	48679	2376	load good	3.0
20	84883	4390	jackson tri keep plate spin best bounc back forth ca nt help becom bit tediou even breathtak landscap villain varmint distract ricochet	1.5
21	41276	1981	muddl repetit rag say far less horrifi histor realiti filmmak characterist style	0.0
22	153863	8405	affect moral favorit	2.5
23	36020	1700	suppos love cal work out hi issu hi dad come term hi pictureperfect life world travel gave no reason care	2.0
24	118544	6334	unexpect thing die in thi shower blackandwhit psychedelia quit beauti	3.0
25	119766	6405	kid flick	1.6
26	21898	979	tv special	2.0
27	71966	3676	thought examin faith love power	3.5
28	60134	3033	jaglom selfconsci gratingli irrit film	1.0
29	152606	8328	woven togeth skil	3.5
30	70660	3602	get board uh shred dude	2.5
31	125589	6746	moviego life	2.0
32	24615	1120	screen	2.0
33	72524	3704	adolesc	2.0
34	102524	5396	keep awak	2.25
35	81376	4194	ha share clever moment bite dialogu	3.0
36	147463	8024	georg luca onli dream	2.5
37	69813	3549	infiltr	2.0
38	116289	6199	blingbl	2.0
39	35422	1667	nice	2.4545454545454546
40	125152	6726	would churlish begrudg anyon receiv whatev consol found in dragonfli yet	1.0
41	46270	2251	park	2.0
42	83466	4312	kneejerk misogyni pass humor in mani teenag comedi	1.0
43	41459	1993	someth like nostalgia	2.0
44	107072	5655	strang wonder creatur	3.0
45	61163	3090	bore	0.5625
46	67222	3410	dragon drama	2.0
47	127054	6833	mibii rote work predict philosoph visual come right end extravagantli redeem	2.5
48	122227	6553	onc deni hardscrabbl live peopl econom fring margaret thatcher ruinou legaci	2.0
49	115555	6158	wa nt bad thought wa go	3.0
50	135638	7327	brain littl scatter ditsi even	1.0
51	129804	6986	promis	2.4285714285714284
52	41299	1981	characterist style	3.0
53	43647	2115	beauti produc	4.0
54	78948	4062	moment real pleasur found in sara sugarman whimsic comedi veri anniemari not enough sustain film	2.0
55	111102	5888	not onli learn invent remark new trick	3.0
56	24802	1131	matthew lillard	2.0
57	53206	2640	quickbuck sequel	0.6666666666666666
58	25374	1160	cockey shot way	1.0
59	104827	5535	walk slowli away	2.0
60	56194	2815	daydream	2.0
61	25378	1160	shot way	2.5
62	52021	2566	kind	2.272727272727273
63	62196	3144	michel hall	2.0
64	61805	3124	want acid allmal eve lush swoon melodrama in intermezzo strain	1.5
65	65991	3347	boot	2.0
66	48165	2348	anoth classic compani	2.5
67	8368	348	saw thi movi well probabl not accur call movi	1.0
68	44379	2150	ani afterschool special imagin	2.5
69	119662	6400	origin stori	2.142857142857143
70	136638	7387	seemingli irreconcil situat	1.5
71	129958	6996	gel togeth	2.0
72	122422	6565	farc parodi comedi premis nt comparison realiti much commentari knowledg film	2.0
73	146622	7975	trek flick	2.0
74	131280	7075	in mood view movi harrow	1.5
75	88667	4606	gay porn film	1.0
76	68249	3464	lack aspir social upheav	1.0
77	101319	5325	work out	2.333333333333333
78	130924	7056	overwrought emot	1.5
79	109415	5794	prefer simpl misfir	1.6
80	14363	619	initi excit	2.5
81	72911	3723	honor interest failur	1.0
82	85154	4404	attempt complic stori	1.5
83	12316	526	come insultingli simplist	1.0
84	102591	5401	onli problem end no one in audienc film seem realli care	0.0
85	111761	5931	flutter stammer	2.0
86	69815	3549	not alway better	1.0
87	85046	4399	touch raucous amus	3.5
88	99921	5242	ozpetek	2.0
89	114076	6065	happi music	3.0
90	89775	4672	involv aragorn dream arwen thi even better fellowship	3.5
91	123027	6602	unembarrass unmemor	0.0
92	57692	2908	work too hard thi movi	1.25
93	153447	8381	cross paul thoma anderson magnolia david lynch mulholland dr	2.0
94	82382	4255	entic prospect	3.0
95	39096	1866	vulgar sexist	0.0
96	155096	8488	sport extravaganza	3.0
97	63624	3220	seem twice long 83 minut	0.5
98	118796	6349	class warfar	1.0
99	129607	6970	enthral	3.25
100	33179	1555	classic dramat anim featur	2.5
101	142877	7754	game perform	2.0
102	2335	89	instantli recogniz	2.5
103	4425	166	interest	2.5161290322580645
104	101390	5330	go out limb	2.333333333333333
105	79319	4084	fest mummi return	2.0
106	88728	4609	legendari professor	2.333333333333333
107	31901	1493	mix messag overblown drama	2.0
108	6640	264	bear grievou obscur complaint father	1.3333333333333333
109	150602	8208	klein work	2.0
110	139112	7540	veri mild rental	2.0
111	32260	1513	deep intellig	3.0
112	43970	2131	deserv heart win still 20 year later	3.333333333333333
113	1138	42	gallo	2.0
114	105427	5567	would seem surefir cast	3.0
115	118742	6347	main charact film well under way yet hard stop watch	2.5
116	145083	7881	reassuringli	2.0
117	33709	1583	trust stori set out tell	3.333333333333333
118	12850	552	gothvampir tortur woeism lifestyl	1.5
119	14446	622	intellig origin	3.0
120	14145	610	indel epic american stori	3.0
121	118683	6344	hoot watch rock chomp jumbo ant pull arrow out hi back leap unscath rage fire	3.25
122	136267	7367	entertain despit onejok premis thesi women venu men mar inde get togeth	2.5
123	82918	4280	ron seal deal	2.0
124	102906	5422	evan rrb lost got back	3.0
125	84231	4353	come onli occasion satir never fresh	0.75
126	143911	7810	old juvenil delinqu paperback	2.0
127	133534	7204	offic polit	2.0
128	103276	5446	fascin examin	3.5
129	40357	1931	long enough	2.0
130	19976	886	duval lrb also produc rrb peel layer thi charact may well not exist paper	3.0
131	142351	7722	aimless hodgepodg	0.6666666666666666
132	91305	4750	insati absorb manner lame entertain long 3yearold	2.0
133	19109	837	sacrif	2.0
134	4709	179	nostalg	3.0
135	81199	4185	nari glimmer selfknowledg lrb crane rrb becom specimen charact	1.0
136	89796	4673	unbalanc mixtur graphic combat footag	1.0
137	17810	772	chiaroscuro	2.0
138	77243	3973	wa	2.0
139	19229	844	natur funni film home movi make crave chri smith next movi	4.0
140	67702	3438	excess	2.0
141	23233	1052	fine	2.636363636363636
142	143977	7815	get drawn parti	2.0
143	126483	6801	til end year	2.0
144	8246	342	spare	2.0
145	7734	314	matter in break code make movi	2.0
146	135399	7311	ha brain	3.0
147	17595	762	clever script solut	3.0
148	28424	1314	gorgeou visual	4.0
149	63160	3193	cleti tout never becom clever crime comedi think	1.0
150	151212	8243	wrap up in charact make choic whi	3.0
151	112906	5996	one allstar reunion	3.0
152	136307	7369	sweet funni charm complet delight	4.0
153	72905	3723	possess in end honor interest failur	2.0
154	33287	1559	parlor	2.0
155	7147	291	got david lynch jone	2.0
156	117993	6303	seigner	2.0
157	48968	2390	onli encourag us see samira makhmalbaf veri distinct sensibl work develop film languag conspicu success	3.0
158	62531	3162	ambigu end seem goofi rather provoc	1.0
159	90693	4721	ultim vapid	1.0
160	71751	3661	set among orthodox jew	2.0
161	135275	7305	recess charm	2.0
162	126629	6808	convey martin deterior barbara sad occasion	2.0
163	94505	4933	beauti reclaim stori carmen recreat in african idiom	3.0
164	102907	5422	rrb lost got back	2.0
165	26476	1214	divert in manner jeff foxworthi standup act	2.0
166	27639	1269	mariah carey give us anoth peek magic saw in glitter in wisegirl	3.0
167	12318	526	insultingli simplist	1.5
168	85820	4440	whi men leav famili	2.0
169	102246	5380	everi falter halfstep develop	1.0
170	1362	50	best war movi	3.5
171	18221	796	abstract charact	3.0
172	17470	758	juliet stevenon attempt bring cohes pamela emot roller coaster life	2.0
173	2349	90	film corni examin young actress tri find way	1.0
174	90969	4732	funni littl movi clever dialogu likeabl charact	4.0
175	116571	6216	make worth trip theatr	3.2
176	28150	1293	momentum	2.0
177	130829	7050	viewer doze few minut make sever run concess stand andor restroom not feel ha miss anyth	0.0
178	31458	1472	film	2.0144927536231885
179	152069	8296	disguis 247	1.5
180	144501	7845	relat histori	2.0
181	16985	738	want start write screenplay	2.0
182	42103	2026	held interest	3.0
183	1025	38	movi progress rambl incoher	0.0
184	82050	4232	defianc over social dictat	2.0
185	128240	6900	vari age	2.0
186	55150	2750	modernday royal	2.5
187	13261	570	fine charact studi	3.0
188	45142	2192	weak ineffect ghost stori without conclus pay	0.3333333333333333
189	136628	7386	misti	2.0
190	42655	2057	want	2.0869565217391304
191	39501	1886	unlimit access famili church meet	2.5
192	118715	6345	film unabashedli hope actual make heart soar	4.0
193	71027	3622	move heartbreak rebellion	3.0
194	123536	6633	attempt wear down possibl pupil repetit	1.0
195	120718	6457	extraordinari dramat experi	4.0
196	14084	606	period	2.1666666666666665
197	45124	2191	runon	2.0
198	90677	4720	sharpli	3.0
199	21642	969	pull rug out under readi hate one charact realli sympath anoth charact someth happen send in differ direct	2.0
200	63156	3193	bland outweigh nifti	1.6666666666666667
201	50511	2484	popular cultur	2.0
202	147818	8042	tv show hey arnold	2.0
203	4427	167	ha no reason exist	1.0
204	8602	357	motion	2.0
205	33871	1590	need constantli draw attent	2.5
206	9925	415	govern lie	2.0
207	112415	5971	stori realli ha no place go sinc simon not real	1.0
208	126844	6820	shake clown	2.0
209	10862	461	quintessenti	2.0
210	42589	2054	gorgeou fine detail	4.0
211	127694	6868	stori larg untold	2.5
212	51391	2532	offer aid subtext skim over realiti gay sex present yet anoth tire old vision gay commun allinclus world uptight middl class bore like antonia feel good themselv	1.0
213	22194	995	70	2.0
214	148855	8098	lot energi	3.0
215	42932	2074	stuf	2.0
216	3624	135	closur	2.0
217	71142	3630	one public rare see	3.0
218	113399	6025	dri humor jar shock	2.5
219	65381	3311	somber pace lack dramat firework make green dragon seem like medicin entertain	0.0
220	72886	3722	behindthescen	2.0
221	133819	7220	act like 8yearold channel roberto benigni	0.0
222	44714	2168	provoc sexual	2.0
223	30853	1436	first tunisian film	2.0
224	133862	7223	salient	2.0
225	95080	4958	natur instinct	2.0
226	106422	5621	murphi wilson actual make pretti good team project surround distressingli rote	1.5
227	43753	2121	children behav like adult everyon	1.0
228	153529	8384	dogtag	2.0
229	139142	7542	messag movi	2.0
230	2577	98	definit	2.2222222222222223
231	126679	6811	win ani award	2.0
232	29419	1363	ile	2.0
233	123683	6642	passabl enough shootout in ok court hous life type flick	2.0
234	124586	6694	emot predict bland	1.0
235	41825	2013	drop back in seat emot forc ani recent film	4.0
236	142803	7750	give ad clout thi doc	2.5
237	146474	7968	still not everi lowbudget movi must quirki bleak happi end no cinemat sin	2.0
238	95678	4997	connect concern	2.5
239	65657	3327	inform adult hindsight	2.5
240	31652	1483	grabowski	2.0
241	62072	3138	unlik in moulin roug	2.0
242	94436	4929	j barri	2.0
243	153716	8395	get	2.1538461538461537
244	56265	2821	find root monster in horror movi know pictur in troubl	0.0
245	66681	3384	kilt	1.6666666666666667
246	60918	3076	nt much	1.125
247	117625	6276	plot blip	2.0
248	18864	827	old payn screenplay	2.0
249	151312	8248	too heavi ha preced	1.3333333333333333
250	135691	7332	courag scottish ladi	2.6666666666666665
251	91307	4750	insati absorb manner lame entertain	1.5
252	85515	4422	present event	2.0
253	138900	7528	childhood awaken	2.0
254	128415	6908	run out idea	1.3333333333333333
255	9172	383	illconceiv	1.3333333333333333
256	30967	1443	often becom	2.0
257	6760	270	mainstream audienc rare seen	3.0
258	113453	6029	deepli touch melodrama	4.0
259	63634	3221	though onli mildli amus could much	2.0
260	103892	5479	great power	3.0
261	136986	7408	noth less	2.0
262	103257	5445	toss logic scienc	1.0
263	77713	3997	someth ultim scorses film stomachturn violenc color new york gang lore hallmark hi person cinema paint largestev histor canva	4.0
264	100992	5305	bring togeth biggest name in japanes anim impress result	3.5
265	55303	2758	in thi film least see studi in contrast wide rang one actor limit rang comedian	2.0
