	PhraseId	SentenceId	Phrase	Sentiment
2	3	1	A series	2
12	13	1	the adage	2
25	26	1	the goose	2
29	30	1	is also	2
35	36	1	the gander	2
41	42	1	of which	2
60	61	1	a story	2
71	72	2	introspective and	3
78	79	2	is worth	2
83	84	3	Even fans	2
97	98	3	I suspect	2
107	108	3	hard time	1
114	115	3	this one	2
122	123	4	thrilling combination	3
127	128	4	ethnography and	2
139	140	4	deceit and	2
146	147	4	Shakespearean tragedy	2
153	154	4	soap opera	1
160	161	5	self-glorification and	1
163	164	5	manipulative whitewash	1
168	169	6	A comedy-drama	2
172	173	6	nearly epic	4
183	184	6	sincere performance	4
190	191	6	title character	2
195	196	6	midlife crisis	1
204	205	7	Every Day	2
210	211	7	plodding mess	0
214	215	8	The Importance	2
237	238	8	a reading	2
244	245	8	Familiar Quotations	2
255	256	9	leave you	2
258	259	9	with much	2
264	265	10	hate it	0
268	269	10	same reason	2
282	283	11	Snow Dogs	2
293	294	11	cliched dialogue	1
296	297	11	perverse escapism	2
300	301	11	a source	2
303	304	11	high hilarity	4
307	308	12	Kung Pow	2
324	325	12	childhood dream	2
332	333	12	martial-arts flick	2
342	343	12	the dreams	2
344	345	12	of youth	2
350	351	12	just that	2
353	354	13	The performances	2
360	361	13	absolute joy	3
378	379	14	the ways	2
381	382	14	in which	2
383	384	14	extravagant chance	2
392	393	14	our perspective	2
396	397	14	throw us	2
402	403	14	the path	2
405	406	14	good sense	3
418	419	15	better judgment	2
421	422	15	be damned	2
426	427	16	welcome relief	3
431	432	16	baseball movies	2
441	442	16	be mythic	2
451	452	16	sweet and	3
456	457	16	winning story	3
461	462	17	bilingual charmer	3
467	468	17	the woman	2
471	472	17	inspired it	2
480	481	18	dizzily gorgeous	4
493	494	18	the Mood	3
498	499	18	Love --	3
501	502	18	very much	2
506	507	18	Kong movie	2
513	514	18	mainland setting	2
518	519	19	As inept	1
523	524	19	big-screen remakes	2
529	530	19	The Avengers	2
534	535	19	Wild West	2
546	547	20	expect --	2
548	549	20	but nothing	2
559	560	21	the year	2
561	562	21	so far	2
569	570	22	Hatfield and	2
575	576	22	the oddest	2
577	578	22	of couples	2
581	582	22	this sense	2
583	584	22	the movie	2
589	590	22	a study	2
593	594	22	the gambles	2
597	598	22	publishing world	2
604	605	22	case study	2
608	609	22	exists apart	2
616	617	22	political ramifications	2
629	630	23	house party	2
635	636	23	the host	2
638	639	23	defend himself	3
644	645	23	frothing ex-girlfriend	2
667	668	24	7 times	2
670	671	24	during Windtalkers	2
676	677	24	good indication	3
684	685	24	the film	2
687	688	25	The plot	2
695	696	25	comedy boilerplate	2
698	699	25	from start	2
700	701	25	to finish	2
717	718	26	mongrel pep	2
723	724	26	plot complications	2
727	728	27	A film	2
731	732	27	means to	2
735	736	27	preach exclusively	2
739	740	27	the converted	2
747	748	28	Being Earnest	2
755	756	28	occasional smiles	3
764	765	28	give us	2
772	773	28	the theater	2
787	788	29	The latest	2
801	802	29	the structure	2
815	816	30	More vaudeville	2
821	822	30	well-constructed narrative	4
827	828	30	those terms	2
834	835	30	inoffensive and	2
837	838	30	rather sweet	3
844	845	31	run-of-the-mill action	1
862	863	32	self-indulgent script	2
871	872	32	for poetry	2
874	875	32	ends up	2
879	880	32	like satire	2
886	887	33	Ice Age	2
896	897	33	feature cartoon	2
903	904	33	other movies	2
911	912	33	glacial pacing	2
914	915	33	early on	2
924	925	34	very little	2
929	930	34	going on	2
932	933	34	the makers	2
935	936	34	serve up	2
938	939	34	the cliches	1
941	942	34	considerable dash	2
954	955	35	runaway success	3
962	963	35	first film	2
964	965	35	Full Monty	2
968	969	35	something different	3
981	982	36	easily substitutable	2
994	995	36	the heroes	2
997	998	36	horror movies	2
1000	1001	36	to avoid	1
1017	1018	37	entertaining itself	3
1021	1022	37	amusing us	3
1029	1030	38	rambling incoherence	1
1037	1038	38	new meaning	2
1048	1049	38	script error	1
1059	1060	39	too soon	2
1070	1071	39	gritty story	2
