	PhraseId	SentenceId	Phrase	Sentiment
0	65641	3326	scuttl plot too bore obviou	1.0
1	77561	3989	workplac ambit	2.5
2	19018	834	suspens enough older kid not	3.0
3	133246	7189	handl convent materi in convent way	2.0
4	27723	1273	unwilling	2.0
5	145106	7883	admir sometim except film	4.0
6	118072	6307	turn larki chase movi emot satisfi explor veri human need	3.0
7	125500	6743	curiou sens menac	2.0
8	75255	3860	hi visual	2.0
9	10744	456	battl bot	2.5
10	122896	6593	stay credit see devast comic imperson dustin hoffman revelatori	3.5
11	13806	595	iranian drama secret ballot	2.0
12	81447	4199	film lrb 80 minut rrb	2.0
13	139357	7555	engag move portrait	3.5
14	153825	8402	good documentari make interest subject thought would leav cold	3.0
15	127886	6879	thi visual unapp	0.0
16	120163	6426	too much kidvid	1.0
17	103369	5450	remind us brilliant crime drama	3.0
18	34241	1609	ham up physic emot disintegr over cours movi ha certain poignanc in light hi recent death	2.0
19	42866	2071	gentl insist sincer	2.5
20	81371	4194	movi certainli ha share clever moment bite dialogu not much lurk abstract surfac	2.0
21	56997	2867	wholesom fantasi	3.0
22	57409	2893	slowli	1.5
23	35166	1653	thi turd squash	0.0
24	66594	3379	totalitarian	1.0
25	575	22	oddest coupl	2.0
26	103930	5481	mustse fan thought war film interest in sight sound battl	4.0
27	108984	5769	ha alreadi	2.0
28	64449	3263	maik firebrand turn savvi ad man	3.0
29	48190	2349	plot act	2.0
30	40901	1960	picnic rank	2.0
31	22334	1006	runofthemil raunchi humor seemingli sincer person reflect	2.0
32	87726	4555	wa onc	2.0
33	148787	8094	lost ideal start point	2.0
34	136613	7385	in grisli sort way	1.0
35	33725	1586	memor experi like mani hi work present weighti issu color wrap up in hi idiosyncrat strain kitschi goodwil	3.0
36	107226	5665	thrill halloween entertain	3.0
37	154347	8436	romanek keep ad flourish artsi fantasi sequenc simpli feel wrong	1.0
38	146541	7971	clearli evid qualiti	3.0
39	57250	2884	capra	2.0
40	72491	3704	set ms birot film apart	2.0
41	125944	6766	like titl charact esther kahn unusu unfortun also irrit	1.0
42	94797	4945	point person	3.0
43	129157	6945	eighthgrad	3.0
44	2709	103	prison lrb ultim victim rrb	2.0
45	133846	7222	give credit	2.0
46	81610	4209	bad manner	1.0
47	155748	8525	afraid bite hand ha final extent warm up	2.0
48	106223	5609	advantag fact	2.0
