	PhraseId	SentenceId	Phrase	Sentiment
0	66743	3387	driven fantast dual perform ian holm	3.5
1	94797	4945	point person	3.0
2	3072	115	seem	2.0
3	47974	2340	72yearold	2.0
4	4678	178	plainli	2.0
5	13834	595	world polit	2.0
6	103665	5467	entertain inform	4.0
7	2611	100	onc	2.0
8	41427	1991	children song	2.3333333333333335
9	110970	5879	silberstein	2.0
10	152585	8327	glib bounci	3.0
11	97623	5107	without style	1.0
12	81076	4178	hard not sucker charm	3.0
13	128297	6903	confess make nt particularli like et first time saw young boy	1.0
14	32977	1544	guyinadress genr	1.5
15	17486	758	coaster life	2.0
16	60087	3031	someth doe nt feel like halfbak standup routin	3.0
17	149137	8115	move weighti depict one famili	3.0
18	46669	2271	negat	2.0
19	64481	3264	charm first movi	4.0
20	10594	448	eric schaeffer ha accomplish never	3.0
21	94751	4944	complet creativ stillborn	1.0
22	71657	3656	otherwis comic narr	3.3333333333333335
23	52724	2611	reallif stori	2.5
24	23619	1073	compel comingofag drama arduou journey sensit young girl seri foster home fierc struggl pull free danger domin mother hold over	3.0
25	104565	5521	first narr film	2.0
26	148426	8077	thirteen convers one thing lay out narr puzzl interweav individu stori like mobiu strip	2.0
27	122356	6558	deepli touch unpreced tragedi	2.0
28	43642	2113	vietnames point	2.0
29	146883	7992	move care happen in 1915 armenia	2.3333333333333335
30	49396	2418	well thi movi prove wrong count	1.0
31	136237	7365	fascin not	1.6666666666666667
32	67199	3410	reign fire hardli origin fantasi film ever made beyond road warrior owe enorm debt alien everi previou dragon drama	2.3333333333333335
33	79998	4121	desir	2.142857142857143
34	94474	4931	percept studi	2.5
35	98823	5183	prison interview	2.0
36	94566	4936	barrag	2.0
37	147778	8040	natur affabl	2.0
38	150926	8226	firsttim hilari birmingham	2.0
39	56687	2848	unattract	2.0
40	109477	5798	feel accident	1.5
41	56873	2860	sex	2.142857142857143
42	6361	253	omin pervas unknown threat lurk proceed add almost constant mindset suspens	2.0
43	85028	4398	found slow predict not veri amus	0.3333333333333333
44	54881	2734	amir mann area	2.0
45	148029	8057	uncertainti principl	1.6666666666666667
46	78867	4059	movi ha script lrb paul pender rrb made wood relentlessli folksi process stagi set piec stack binari opposit	0.5
47	132340	7136	dull dumb deriv horror film	0.0
48	24930	1136	italian	2.0
49	93946	4902	glide grace male persona femal without miss beat	4.0
50	127186	6840	present viscer danger honest revel men machin behind curtain planet	3.5
51	46238	2250	lost abil think	1.0
52	57790	2911	option	2.0
53	125845	6760	feel like 10cours banquet	3.0
54	131259	7074	familyfriendli fantasi	3.0
55	128031	6887	hang over time machin	2.0
56	153680	8392	one welltim explos in movi knockout	2.6666666666666665
57	11532	497	hope despair	2.0
58	136559	7383	mr murray prolif director music video	2.5
59	55328	2759	simpli not enough interest onscreen	1.0
60	32906	1541	good simmer	3.0
61	104120	5490	skip thi dreck	0.0
62	16765	724	moment genuin insight urban heart	3.5
63	95091	4959	save oleand uninspir stori	2.0
64	87419	4534	design not offend	2.0
65	154723	8462	chang in lrb herzog rrb person polici	2.0
66	123562	6635	take credit movi success	3.0
67	105873	5587	mexican icon	2.0
68	99934	5243	less studi in mad love studi in schoolgirl obsess	1.5
69	85703	4433	wors	1.0
70	46557	2265	good	2.78125
71	38529	1836	stick	2.142857142857143
72	97014	5071	go happen	2.0
73	129510	6964	intim therefor bolder	3.5
74	110473	5852	laggard	2.0
75	60171	3035	spark	2.25
76	119399	6385	wideey	3.0
77	89779	4672	aragorn dream	2.0
78	79345	4086	enchant film year	4.0
79	148921	8102	like four lead actor lot manag squeez few laugh out materi	3.3333333333333335
80	135385	7311	feelgood movi still show real heart	3.0
81	43094	2081	plenti scene in frida	2.0
82	47225	2301	onli belli laugh	2.5
83	39101	1866	racist	0.0
84	126884	6822	thi actionthrillerdark comedi	2.0
85	56538	2839	miss thi materi	2.0
86	119669	6400	slap	1.625
87	8756	365	comic possibl	2.5
88	79792	4111	not de niro particip	2.0
89	135784	7335	impli terror suggest rather overus special effect	3.5
90	15420	661	dong never push insight beyond superfici tension dynam dissect	1.0
91	154619	8454	one way	2.0
92	5463	217	shown up	2.0
93	50985	2510	chill tale one great crime 20th centuri franc	3.0
94	50899	2505	peski	1.0
95	81780	4219	challeng film	2.3333333333333335
96	139880	7589	iran	2.0
97	74879	3839	catalog everi bodili fluid gag in someth mari devis parallel clonegag	1.5
98	6879	275	auteur profession injuri	2.0
99	94745	4943	bad	1.1428571428571428
100	14862	639	convey strong sens girl environ	3.0
101	16202	700	borrow	2.0
102	18602	817	young tv actor	2.0
103	93848	4895	lofti	2.5
104	87117	4518	call too clever	2.0
105	123955	6655	swashbuckl	2.0
106	92373	4810	rhapsod	2.25
107	73970	3782	mandi	2.0
108	9413	391	in hand	2.0
109	88474	4598	not veri well shot compos edit	0.5
110	53563	2656	seriou explor	2.0
111	109884	5820	elev experi mythic level	2.5
112	45737	2223	frequent laughter	3.0
113	146562	7972	tough funni rather chaotic show	4.0
114	154998	8480	nt entir infantil	2.0
115	111054	5885	far too clich	1.0
116	32393	1518	in middleoftheroad bland	1.0
117	83068	4287	glimps hi life	2.0
118	107205	5664	ani arthous moviego like find compel	3.0
119	137786	7456	first instinct duck	2.0
120	100365	5267	problem charact reveal univers involv	2.6666666666666665
121	102030	5370	play wors	0.6666666666666666
122	95527	4987	bare shock bare interest bare	1.0
123	142081	7708	show excess in busi pleasur	3.0
124	96730	5052	like action movi	2.0
125	145369	7899	gai charact avoid fate ha befallen everi carmen befor	2.5
126	123929	6654	crummylook	2.0
127	88943	4621	complet denial hi obsess behavior	1.0
128	65356	3308	liber	2.3
129	85468	4420	edg seat	3.375
130	95705	4999	secret ballot funni puzzl movi ambigu enough engag oddli move	4.0
131	110034	5827	everyon bag popcorn	2.0
132	123046	6603	make everyon ha squirm recognit	2.5
133	73555	3760	fantast reign fire look	4.0
134	94093	4909	pervers comedi romanc	3.0
135	52165	2576	interest way deal subject	1.6666666666666667
136	14973	643	express warmth long	2.5
137	38640	1841	never quit justifi exist	1.5
138	153659	8391	too often sugari sentiment withhold deliveri pellmel pyrotechn punchi style promis	0.5
139	134026	7233	exceedingli rare	3.0
140	40578	1943	chang lane go take	2.0
141	96468	5040	use make movi	2.0
142	76107	3905	script gag charact directtovideo stuff thi film remain	0.0
143	101854	5361	profound human	2.6666666666666665
144	146237	7951	entir script	2.0
145	21172	948	show indi tatter selfconsci seam in place ha quietli move moment intellig subtleti	3.0
146	84814	4386	desper worthi	1.0
147	108418	5737	themat complex bowel movement thi longontheshelf pointandshoot exercis in gimmicki crime drama	2.0
148	41622	2003	hi shortest	2.0
149	91862	4781	misdemeanor	1.6666666666666667
150	311	12	oedekerk realiz hi childhood dream in martialart flick prove sometim dream youth remain	1.0
151	108531	5744	greed mater	2.0
152	110816	5871	play smartli	3.0
153	29655	1374	often incis satir unabash sweet	3.0
154	36959	1751	mitchel	2.0
155	82149	4239	perform amiabl commit comedi often not hit bullsey	3.0
156	117708	6283	shapeless	1.3333333333333333
157	125206	6727	dustbin histori	1.5
158	129276	6952	juxtaposit overwrought existenti stomachchurn gore forev verg either crack up throw up	2.0
159	46707	2272	nois	2.0
160	98143	5141	wonder lopez publicist share screenwrit credit	2.0
161	146347	7959	heaven bad movi	1.0
162	65696	3329	ani opportun	2.0
163	136021	7348	in examin america cultur fear	2.0
164	79424	4091	fascin byway	2.0
165	93212	4860	think film much document subject	1.6666666666666667
166	102609	5402	consist funni austin power film	4.0
167	26122	1197	may surpris varieti tone in spielberg work	3.0
168	59616	3007	happi time	2.0
169	135296	7307	observ unfussili poetic medit ident alien	2.857142857142857
170	119025	6362	doe nt quit make cut place ani list favorit	1.0
171	39506	1886	famili church meet	3.0
172	95083	4958	selfpreserv	2.0
173	66842	3391	twohi film sub	2.0
174	62024	3136	chuck jone	2.0
175	90562	4714	look smeari blurri point distract	0.0
176	132833	7162	made curl	2.0
177	22416	1011	weak script	0.5
178	94258	4919	explos physic energi convinc intellig	4.0
179	32890	1541	quit make boil point manag sustain good simmer run time	3.0
180	70338	3584	documentari work	2.5
181	88485	4598	dialogu frequent overwrought crude liter	0.0
182	154303	8432	send audienc straight hell	0.5
183	18975	833	inject fresh spirit	4.0
184	43315	2093	half	2.0
185	88122	4577	actual releas theater	1.6
186	69427	3529	requir view in univers comput scienc depart year come	3.0
187	49585	2428	kitchen ballet	2.0
188	130271	7016	pretti decent	3.0
189	85148	4403	triumph hi band	3.0
190	124065	6661	renown filmmak	3.0
191	114914	6120	quit deliv suckerpunch impact greater beaus director zhang last film cuddli shower wa nonthreaten multicharact piec center around public bath hous	3.0
192	30471	1414	wa entranc	3.3333333333333335
193	123794	6646	neither complet enlighten	1.0
194	93460	4873	spielberg pictur	2.0
195	28901	1339	georg ratliff documentari hell hous	2.0
196	9865	412	deserv veri least	2.5
197	16608	716	unrepentantli trashi take rice second instal vampir chronicl	1.0
198	58426	2944	hate feel slime in name high art	0.3333333333333333
199	62580	3165	less dramat equal incis	2.0
200	114228	6075	ought pick up durabl best seller smart women foolish choic advic	1.5
201	107329	5672	bit themat meat bone queen damn origin in ann rice novel dictat	2.3333333333333335
202	144810	7861	kind pretend passion truth realli frustratingli timid soggi	1.0
203	49843	2445	ai nt art long shot	1.25
204	84667	4380	wed	2.5
205	82336	4250	found sturg	2.0
206	18400	805	develop charact	3.0
207	137701	7452	level	2.076923076923077
208	76013	3900	marmit	2.0
209	152056	8296	fire hi rd peopl	1.5
210	68700	3491	behan memoir great materi film rowdi brawni lyric in best irish sens	3.0
211	78911	4060	no reason whi anyon bother rememb	0.6666666666666666
212	20733	925	trumpet blast	2.0
213	69902	3555	boil down	2.0
214	39020	1862	best matur comedi 2002 summer season speak season pictur	3.0
215	143564	7792	stuff yuen	2.0
216	51294	2525	firebreath entiti	2.0
217	81396	4195	kingdom	2.5
218	94829	4946	get ad disdain fact nearli imposs look understand	0.5
219	141356	7667	larg human tragedi	1.6666666666666667
220	87860	4563	thick shmear	2.0
221	75506	3871	thought minor classic	3.0
222	3206	120	ha ever reveal befor sourc hi spiritu surviv	2.4
223	136222	7364	bore abc	1.0
224	39596	1890	wild thornberri movi pleasant enough messag close tie anim certainli not emphas enough	3.0
225	148314	8070	manchild	2.0
226	73756	3772	brosnan bunch	2.0
227	101630	5349	could restag whole thing in bathtub	0.75
228	97325	5089	lovablelos protagonist	2.6666666666666665
229	8793	366	told well	3.0
230	111047	5885	start promisingli	2.3333333333333335
231	80501	4145	find	2.0
232	137468	7438	nt veri interest	0.0
233	119567	6392	wewannour money back actual	1.0
234	33856	1590	workman grasp	2.0
235	12035	517	intellig multilay profoundli humanist lrb not mention gentli polit rrb medit valu knowledg educ affect cultur geograph displac	4.0
236	68666	3489	impress roster star direct	4.0
237	75954	3897	captain	2.3333333333333335
238	90682	4721	empti exercis florid ultim vapid crime melodrama lot surfac flash littl emot reson	1.0
239	88255	4584	better midrang steven seagal not sharp jet li rollerblad	2.0
240	128059	6889	zing way	4.0
241	30839	1435	funni human realli pretti damn wonder	3.3333333333333335
242	61150	3090	made watchabl bravura perform	3.0
243	102809	5417	hi music	2.0
244	48606	2373	compens movi fail	1.0
245	31159	1455	may choos interpret film end hope optimist	2.5
246	74255	3804	mildli engag central romanc hospit	1.6666666666666667
247	35273	1658	narciss	1.0
248	73263	3742	reinvigor	3.0
249	67854	3444	possibl	2.125
250	67871	3446	appar glee	2.0
