	PhraseId	SentenceId	Phrase	Sentiment
0	5321.0	211	bring proper convict hi role lrb jason bourn rrb	3.0
1	5080.0	198	lose smug selfsatisfact usual associ better privat school	1.0
2	2658.0	102	surprisingli solid achiev	3.5
3	7715.0	313	solid spooki entertain worthi price ticket	3.0
4	691.0	25	romant comedi boilerpl start finish	2.5
5	9720.0	404	final effect like two guy yell in face two hour	0.5
6	9368.0	390	everybodi els in background	2.5
7	4209.0	159	tryingli titl	1.5
8	4720.0	180	awkwardli contriv exercis in magic realism	0.0
9	3182.0	120	mr polanski in hi element alon abandon still consol hi art ha ever reveal befor sourc hi spiritu surviv	3.0
10	6516.0	259	creat film one honestli describ look sound simpli feel like no film in recent histori	3.0
11	8673.0	361	bigelow offer flashi twist turn occasion fortifi thi turgid fabl	3.0
12	6941.0	277	fake	1.0
13	4009.0	152	scientif law discern produc would well heed	1.3333333333333333
14	5211.0	207	fairi tale come renown indian film cultur allow american final revel in splendor	4.0
15	2977.0	113	ha thi sneaki feel director tri dupe viewer take veri import simpli becaus movi ugli look not hollywood product	1.0
16	6105.0	243	shine like lone beacon	3.0
17	9465.0	394	avers usual feelgood followyourdream hollywood fantasi thi one got	4.0
18	1333.0	50	bloodi sunday ha grace call prevent rather place blame make one best war movi ever made	4.0
19	7978.0	326	episod	2.0
20	7452.0	303	beat austin power film game thi blaxploit spoof downplay raunch in favor gag reli strength clever oppos extent outrag	3.0
21	2369.0	91	lazi movi avoid solv one problem tri distract us solut anoth	2.0
22	5966.0	239	one world cinema wondrous gift artist storytel	4.0
23	7071.0	285	nt sharp origin despit visual virtu blade ii doe nt cut	1.0
24	3556.0	133	kind product would funnier director releas outtak theatric use film bonu featur dvd	2.0
25	4815.0	184	aim funni uplift move sometim onc	3.0
26	2933.0	112	appreci onesid theme lawrenc overindulg tirad	2.0
27	6504.0	258	genuin unnerv	1.0
28	5575.0	221	boymeetsgirl postur	2.0
29	313.0	12	oedekerk realiz hi childhood dream in martialart flick	2.0
30	2209.0	83	steven spielberg schindler list	2.0
31	763.0	28	doe nt give us reason in theater beyond wild wit actor perform	1.0
32	8997.0	375	suck in despit flaw	2.0
33	4943.0	192	dramat thing happen peopl	1.0
34	7600.0	308	hollywood end may hi way say piffl airhead movi busi deserv right	1.0
35	7422.0	302	use stock plot boy inject enough fresh proceed provid enjoy 100 minut in movi theater	3.0
36	463.0	17	bilingu	2.0
37	1486.0	54	relic bygon era convolut feel silli rather plausibl	1.0
38	9206.0	385	leguizamo jone excel rest cast uniformli superb	4.0
39	8701.0	362	too serious	1.6666666666666667
40	8906.0	372	frailti offer chill much like get sit around campfir around midnight tell creepi stori give willi	4.0
