	PhraseId	SentenceId	Phrase	Sentiment
0	285	11	dog	2.0
1	488	18	wong	2.0
2	943	34	consider	3.0
3	640	23	defend	2.0
4	898	33	featur	2.0
5	737	27	preach	2.0
6	731	27	clearli	2.0
7	180	6	root	3.0
8	686	24	film	2.0
9	670	24	time	2.0
10	9	1	escapad	2.0
11	738	27	exclus	2.0
12	375	14	say	2.0
13	595	22	gambl	2.0
14	35	1	gander	2.0
15	611	22	apart	2.0
16	739	27	convert	2.0
17	159	5	aggress	2.0
18	80	2	worth	2.0
19	823	30	wellconstruct	3.0
20	526	19	remak	2.0
21	516	18	set	2.0
22	137	4	betray	2.0
23	615	22	movi	2.0
24	134	4	intrigu	3.0
25	234	8	play	2.0
26	284	11	snow	2.0
27	506	18	hong	2.0
28	562	21	far	2.0
29	876	32	end	2.0
30	399	14	us	3.0
31	826	30	term	2.0
32	403	14	path	2.0
33	610	22	exist	2.0
34	484	18	companion	3.0
35	636	23	host	2.0
36	500	18	love	4.0
37	310	12	pow	3.0
38	952	35	follow	2.0
39	881	32	satir	2.0
40	176	6	proport	2.0
41	619	22	ramif	2.0
42	996	36	hero	3.0
43	521	19	inept	1.0
44	913	33	glacial	2.0
45	441	16	mythic	2.0
46	534	19	wild	3.0
47	773	28	theater	2.0
48	200	7	narr	2.0
49	124	4	thrill	4.0
50	872	32	poetri	2.0
51	222	8	earnest	2.5
52	480	18	less	2.0
53	847	31	action	2.0
54	24	1	goos	2.0
55	428	16	welcom	2.0
56	337	12	prove	2.0
57	835	30	inoffens	2.0
58	698	25	boilerpl	2.0
59	372	14	seriou	2.0
60	420	15	better	4.0
61	343	12	dream	2.0
62	802	29	structur	2.0
63	967	35	monti	2.0
64	156	4	opera	2.0
65	175	6	epic	3.0
66	468	17	woman	2.0
67	970	35	differ	2.0
68	928	34	go	2.0
69	354	13	perform	2.0
70	859	32	paralyz	1.0
71	45	1	occasion	2.0
72	716	26	pedigre	2.0
73	494	18	mood	3.0
74	161	5	selfglorif	1.0
75	541	20	everyth	2.0
76	91	3	merchant	2.0
77	287	11	unless	2.0
78	116	3	one	2.0
79	733	27	mean	2.0
80	31	1	also	2.0
81	69	2	quiet	2.0
82	362	13	absolut	2.0
83	697	25	comedi	3.0
84	889	33	age	2.0
85	298	11	pervers	1.0
86	789	29	latest	2.0
87	701	25	finish	2.0
88	423	15	damn	1.0
89	896	33	computergener	2.0
90	529	19	aveng	2.0
91	464	17	charmer	3.0
92	784	28	actor	2.0
93	508	18	kong	2.0
