	PhraseId	SentenceId	Phrase	Sentiment
0	42628.0	2056	crush under car throw out window electrocut dismemb victim in full conscious	1.3333333333333333
1	114621.0	6098	act far pain	3.0
2	39754.0	1899	funniest american comedi sinc graffiti bridg	4.0
3	14991.0	645	vivid thought unapologet raw comingofag tale full sex drug rock n roll	3.5
4	1369.0	51	take clunki tvmovi approach detail chapter in life celebr irish playwright poet drinker	1.0
5	51701.0	2549	film cast particularli yaya themselv	3.0
6	106121.0	5604	famili sour immort	1.6
7	8854.0	369	onc expect laughter ha quash whatev obscen hand	1.0
8	99950.0	5245	not particularli subtl howev still manag build terrifi obviou conclus	2.0
9	102500.0	5395	simon not bad film	3.0
10	136085.0	7352	no one get shut out hug cycl	2.0
11	108235.0	5727	boyd screenplay lrb cowritten guardian hack nick davi rrb	2.0
12	976.0	36	unnam easili substitut forc serv whatev terror hero horror movi tri avoid	1.0
13	110553.0	5859	nearmasterpiec	4.0
14	80652.0	4153	eyr hi way becom american indian spike lee	3.0
15	32912.0	1542	like kiss jessica stein ami orgasm ha key strength in willing explor princip charact honesti insight humor	3.0
16	91899.0	4782	fill hot chick latest gimmick thi unimagin comedian	0.5
17	148667.0	8088	best thing movi person amus cast	3.0
18	18459.0	810	lrb allen rrb best work understand whi snobberi better satir target middleamerica divers could ever	3.0
19	30620.0	1423	histori fascin	3.5
20	118917.0	6356	suppos postfeminist breezi end up tediou chatter parrot rais oprah	0.0
21	24537.0	1117	perri good hi interest charact serv sara ha nt much serv silli fluff	1.0
22	115487.0	6153	hard imagin ani recent film independ otherwis make much mess thi one	0.0
23	120454.0	6441	nair attent detail creat impecc sens place thurman lewi give easili consid careerbest perform	4.0
24	134067.0	7236	ha in fact come closer anyon could desir cheap graceless hackney scifi serial 30 40	0.0
25	131213.0	7072	conjur lynchlik vision rot underbelli middl america	1.5
26	128937.0	6934	not deepli touch thi movi check puls	4.0
27	41452.0	1993	domin feel someth like nostalgia	2.0
28	144121.0	7823	decid lack spontan in execut dearth real poignanc in epiphani	1.0
29	154152.0	8422	nt much better	1.0
30	142741.0	7747	prove too difficult text lick despit effort firstrat cast	1.0
31	32847.0	1539	way home ode uncondit love compass garner year see condit onli old privi often misconstru weak	3.0
32	130821.0	7050	movi make possibl viewer doze few minut make sever run concess stand andor restroom not feel ha miss anyth	0.0
33	50584.0	2488	seem keep up ant charact in film	3.0
34	97254.0	5084	film ha uncanni abil right precis think in danger go wrong	3.0
35	20470.0	914	captiv new film	4.0
36	27660.0	1270	rock solid famili fun out gate extrem imagin out wane in middl	3.0
37	28697.0	1329	fun real howler	3.0
38	96792.0	5056	stori lack ani real emot impact plot contriv clich	1.0
39	43384.0	2098	too slow younger crowd too shallow older one	1.0
40	11222.0	483	moral shrapnel mental shellshock linger long thi film ha end	3.0
41	92808.0	4834	stylishli direct verv	3.0
42	91959.0	4785	boast enough funni dialogu sharp	3.0
43	60610.0	3062	wanton slipperi corpu amiabl jerk reshap physic time space	2.0
44	32397.0	1519	yet anoth entri in sentiment ohthosewackybrit genr wa usher in full monti still strain produc anoth smash hit	1.0
45	76322.0	3920	tchaikovski soundtrack neurasthen regret	2.0
46	51731.0	2551	one thing sure thi movi doe not tell whole lot lili chouchou	2.0
47	147433.0	8022	beauti ach sad	3.0
48	132985.0	7173	elmo tout hi drug 51 time stronger coke	2.0
49	26461.0	1214	toler redneckversusblueblood clich film trade in sweet home alabama divert in manner jeff foxworthi standup act	2.0
50	84793.0	4386	hard look one man occup angst subsequ reinvent terrifi studi bourgeoi	2.0
51	53929.0	2677	get royal screw come back	2.0
52	48834.0	2384	stick head up breath fresh air	2.0
53	52492.0	2598	despit overwrought end film work well doe becaus perform	3.0
54	113286.0	6018	come out china in recent year	2.0
55	100172.0	5256	fascin bombshel documentari shame american regardless whether not ultim blame final lie kissing	4.0
56	98608.0	5169	unfold predict adventur happen along way seem repetit design fill time provid no real sens suspens	0.5
57	109132.0	5779	ignor made swimfan anyway	1.0
58	97713.0	5116	mayb leblanc thought hey movi baseballplay monkey wa wors	1.0
59	95268.0	4972	wise deadpan humor	3.0
60	89666.0	4666	one best movi year	4.0
61	87748.0	4556	real visual charg filmmak strong erot spark crucial lipread sequenc	3.0
62	20633.0	921	lousi john q spit out denzel washington fine perform in titl role	1.0
63	111962.0	5943	thi nt exactli profound cinema goodnatur sometim quit funni	3.0
64	125721.0	6755	act fine script interest record convers walmart checkout line	1.0
65	37178.0	1763	murder number nt great movi perfectli accept widget	2.0
66	51783.0	2554	name archetyp desir enjoy good trash everi	2.5
67	35654.0	1679	xmen occasion brilliant mostli averag show sign potenti sequel not give us much thi time around	1.0
68	62462.0	3159	odd haphazard inconsequenti romant	0.0
69	141060.0	7650	hardli necessari enterpris	1.3333333333333333
70	122861.0	6591	made lrb crudup rrb suburban architect cipher	2.0
71	129426.0	6959	romant comedi plotlin straight age thi cinderella stori doe nt singl surpris up sleev	1.0
72	102448.0	5392	forget one oscar nomin juliann moor thi year	0.0
73	26066.0	1194	bigelow handl nuclear crisi sequenc evenli milk drama build suspens drag out too mani scene toward end move quickli	1.0
74	145793.0	7925	start satisfi kid flck becom increasingli implaus race contriv plot point	1.0
75	59116.0	2982	lot recommend read lip	2.6666666666666665
76	52215.0	2579	stuffi full moral ambigu noth shout	1.0
77	61227.0	3095	villain vampir cup blood blade 2 definit cut abov rest	3.0
