	Unnamed: 0.1	PhraseId	SentenceId	Phrase	Sentiment
0	0	55916.0	2795	opera movi buff	3.0
1	5	113320.0	6022	found in abil spoof black white stereotyp equal	3.0
2	9	81222.0	4186	qualiti onc amus becom irrit	1.0
3	40	145695.0	7920	star may colleg kid subject matter adult get temptat flesh unleash slightli craze overtli determin young woman onenight swim turn ocean troubl	3.0
4	41	146549.0	7972	reno left liber polit spectrum tough funni rather chaotic show nt subvers much nitpicki hypocrisi time	2.0
5	58	95290.0	4974	too interest in jerk in byzantin incarn bother pleasur audienc	0.6666666666666666
6	73	102677.0	5409	spi action flick antonio bandera luci liu never come togeth	0.6666666666666666
7	77	57753.0	2911	peopl march beat differ drum ever wonder kind hous peopl live in thi documentari take look 5 altern hous option	3.0
8	78	135067.0	7291	like soft drink sit open too long too much syrup not enough fizz	0.0
9	80	54946.0	2737	trot out everi ghost trick sixth sens mothman propheci	1.5
10	83	108815.0	5761	natur love member upper class almost much love themselv	2.0
11	91	61572.0	3112	arliss howard ambiti move adventur directori debut big bad love	3.5
12	118	77125.0	3967	like hot hardwood prove onc man in drag not in funni	1.0
13	120	139626.0	7575	real danger less sophist audienc mistak endors veri thing bean abhor	1.3333333333333333
14	123	39619.0	1891	view one shakespear better known tragedi dark comedi	3.0
15	124	26875.0	1233	nt scari	1.0
16	127	75957.0	3898	leav way came few tasti morsel under belt no new friend	1.0
17	132	83840.0	4333	ye swim titl mere annesophi birot offhand way say girl find adolesc difficult wade	2.0
18	138	126922.0	6824	almodovar imagin teacher emot intellig in thi engag film two men discov william jame onc call gift tear	4.0
19	171	110682.0	5865	baffl subplot involv smuggl drug insid danish cow fall flat go alter bard end better good altern	1.0
20	206	14194.0	612	lrb film rrb work due mostli tongueincheek attitud screenplay	3.0
21	212	45600.0	2216	breen script sketchi actorish notat margin act	1.0
22	219	74858.0	3838	movi thesi eleg technolog mass surprisingli refresh	3.0
23	223	18776.0	825	not avert hi eye solondz forc us consid unthink unaccept unmention	3.0
24	231	149895.0	8162	make worth watch quaid perform	3.0
25	237	53909.0	2676	ask noth audienc sit back enjoy coupl great actor ham up	2.5
26	246	89867.0	4677	look play like 40 million version game like enjoy comput	0.75
27	250	65254.0	3303	kept much plot jettison stuff would make thi move experi peopl nt read book	1.5
28	253	30654.0	1426	demeo not without talent need better materi	2.5
29	266	49374.0	2416	realli want understand thi stori realli far better serv sourc materi	0.0
30	279	127206.0	6841	manag squeez angelina joli surpris flair selfdeprec comedi	2.6666666666666665
31	288	55633.0	2779	lack depth	1.0
32	298	105598.0	5576	thi trifl romant comedi in opposit attract no better reason screenplay demand squander charm star hugh grant sandra bullock	0.0
33	304	114831.0	6113	classic cinema serv up heart humor	4.0
34	308	71787.0	3662	formula familiar enjoy	3.0
35	318	81465.0	4201	crafti energet smart kid sort like fourteenyear old ferri bueller	4.0
36	330	138540.0	7504	two big thing miss anyth approach viscer kick anyth approach even vagu reason sit	1.0
37	343	151577.0	8268	film plot may shallow never seen deep like see in harrow surf shot	3.0
38	348	54224.0	2694	plot twist give tri break heart attract desper need	3.0
39	355	129239.0	6950	hard understand whi anybodi pick up	0.0
40	362	81446.0	4199	film lrb 80 minut rrb actual quit entertain	3.0
41	369	7106.0	287	thinlyconceiv movi	1.0
42	390	147939.0	8051	doe nt treat issu lightli	2.0
43	399	146416.0	7964	allen 66 ha stop challeng	1.0
44	404	116415.0	6208	lrb rrb smarter much funnier version old polic academi flick	3.0
45	413	71025.0	3622	move heartbreak rebellion continu tri accommod fit in gain uncondit love seek	2.0
46	417	107897.0	5707	lrb film rrb tast shock humor wear thin wean comedi tom green farrelli brother	1.0
47	420	17950.0	783	disney aficionado notic distinct parallel thi stori 1971 music bedknob broomstick also dealt british children rediscov power fantasi dure wartim	2.0
48	424	128633.0	6919	kind underinspir overblown enterpris give hollywood sequel bad name	0.25
49	425	120843.0	6467	though opera take place mostli indoor jacquot seem unsur evok ani sort natur set	2.0
50	431	54988.0	2739	ha solid emot impact	4.0
51	443	17886.0	778	small movi big heart	3.0
52	446	137747.0	7455	watch end too often like look over outdat cloth plastic knickknack neighbor garag sale	1.0
53	466	31418.0	1470	ever depend concept wa botch in execut thi	0.0
54	482	40099.0	1920	trueblu delight	4.0
55	494	82708.0	4271	entertain inferior level	1.5
56	497	1370.0	51	take clunki tvmovi approach detail chapter in life celebr irish playwright poet drinker	1.0
57	503	69661.0	3543	trailer trash cinema uncool onli thing miss gadzook	1.0
58	508	69392.0	3528	cain make us watch hi charact awaken notion human eventu choos	3.0
59	550	3358.0	126	still sweet even delect divers	3.5
60	565	96027.0	5017	may think figur out con player in thi debut film argentin director fabian bielinski think someon made wallet	1.6666666666666667
61	566	35935.0	1696	take away controversi not much watchabl mexican soap opera	0.0
62	568	139336.0	7555	film fearlessli get under skin peopl involv thi make not onli detail histor document engag move portrait subcultur	3.5
63	575	55701.0	2786	give freedom feel contradictori thing	2.5
64	580	40466.0	1935	pretenti mess	0.2
65	597	108114.0	5720	no matter slice mark wahlberg thandi newton not hepburn grant two cinemat icon chemistri galor	2.0
66	601	7982.0	327	guilti pleasur best not worth see unless want laugh	2.0
67	609	38252.0	1821	writer director night shyamalan abil pull togeth easili access stori reson profund undeni	3.0
68	616	155155.0	8493	move stori determin human spirit	3.5
69	621	35770.0	1688	bad oper word bad compani nt mean in good way	0.0
70	626	114566.0	6095	boister heartfelt comedi	3.5
71	629	154474.0	8445	start possibl argentin american beauti reek like room stack pungent flower	0.5
72	656	136936.0	7406	one fantast lrb educ rrb documentari	4.0
73	661	104148.0	5492	overli melodramat somewhat insight french comingofag film	2.333333333333333
74	663	85014.0	4396	solidli entertain littl film	3.5
75	664	132423.0	7141	mysteri movi could releas in thi condit	0.6666666666666666
76	669	92166.0	4796	almost worth see onli wit crazi confluenc purpos tast	3.0
77	670	89651.0	4664	sooooo tire	0.5
78	672	67817.0	3444	pt anderson understand grand romanc love great equal calm us daili ill bring out joy in live never knew possibl	3.5
79	673	67651.0	3436	whether not enlighten ani derrida lectur self derrida undeni fascin play fellow	4.0
80	696	119610.0	6395	gangster movi capac surpris	3.0
81	702	2930.0	112	appreci onesid theme lawrenc overindulg tirad knock out enjoy big screen postcard selfglorifi martin lawrenc lovefest	1.0
82	710	25842.0	1184	simpli portrait earli extrem sport thi peek 1970 skateboard revolut skateboard film social anthropolog	2.0
83	725	144857.0	7865	demonstr unusu power thought subject filmmak	3.5
84	727	36929.0	1750	highli predict narr fall short treasur planet truli gorgeou behold	4.0
85	730	43091.0	2081	plenti scene in frida work rare involv titl charact	2.0
86	732	73071.0	3733	glorifi sitcom long unfunni one	0.75
87	741	70442.0	3591	wellact onenot film	2.0
88	749	48704.0	2378	make compel provoc prescient view	3.5
89	756	31194.0	1457	overwrought melodramat bodiceripp	0.5
90	760	8895.0	371	translat nt need tri veri hard	1.0
91	781	20405.0	912	subtitl costum drama set in remot african empir befor cell phone gun intern combust engin polit thump time tomorrow	3.0
92	794	13166.0	566	thi veri ambiti project fairli inexperienc filmmak good actor good poetri good music help sustain	3.0
93	801	101336.0	5326	much smarter attent first set out	3.0
94	820	43707.0	2119	mar otherwis delight comedi error	1.0
95	821	82494.0	4259	feel like streetwis mclaughlin group never fail entertain	3.0
96	827	126774.0	6816	made realiz realli nt good cheesi bmovi play in theater sinc well sinc last week reign fire	1.0
97	829	109238.0	5785	contriv awkward fill unintend laugh film show sign someon director got edit room tri improv thing make movi go faster	0.0
98	840	69111.0	3510	even better first one	3.5
99	853	79305.0	4084	mindless yet impress lean spinoff last summer bloat effect fest mummi return	3.0
100	872	142758.0	7748	ca nt rememb last time saw audienc laugh much dure movi onli one problem suppos drama	1.5
101	873	96874.0	5064	face chillingli unemot yet commun great deal in hi perform	2.5
102	894	116702.0	6224	remark lrb frustrat rrb thing world travel open today in manhattan protagonist object intens scrutini 104 minut remain complet blank	2.0
103	902	44054.0	2135	charact develop thi might eeri thriller better payoff could think man monster movi	1.0
104	927	93528.0	4876	make wonder lawrenc hate critic much refus evalu hi work	1.0
105	943	34790.0	1637	exampl quiet confid craftsmanship tell sweet charm tale intergalact friendship	3.5
106	945	93314.0	4867	surfac psychodramat	1.3333333333333333
107	952	47321.0	2307	could art heart necessari one	3.0
108	956	79662.0	4101	kind trifl date night invent	2.5
