	PhraseId	SentenceId	Phrase	Sentiment
0	920.0	34	veri littl sens go	0.0
1	8995.0	375	movi suck in despit flaw	2.0
2	2603.0	100	plough furrow onc too often	1.0
3	6542.0	260	film leap over nation boundari celebr univers human natur	4.0
4	5563.0	220	week blown up big screen	1.0
5	1921.0	71	ha ambit say someth subject not willing	2.0
6	408.0	15	still like moonlight mile better judgment damn	3.0
7	6945.0	278	mildli enjoy toothless adapt	2.0
8	7658.0	310	intim sensual funni psycholog selfrev make pass sex in movi look like cheap hyster	4.0
9	2434.0	93	pervers pleasur watch disney scrape bottom cracker barrel	1.0
10	692.0	25	romant comedi boilerpl start finish	2.0
11	5719.0	227	difficult imagin confus less interest sloppili made film could possibl come down road in 2002	0.0
12	3273.0	124	unsettl imag warravag land prove potent rivet unlik stori sarah harrison	2.5
13	815.0	30	vaudevil show wellconstruct narr	1.5
14	3907.0	149	eight leg freak partli homag tarantula low budget bmovi thriller 1950 60	2.0
15	6611.0	263	dark littl moral tale	2.5
16	9010.0	376	well written direct brutal honesti respect audienc	4.0
17	2265.0	86	someth mari cowrit ed decter	2.0
18	3708.0	140	sleek arti	3.5
19	8531.0	353	doe nt connect in neat way introduc charact illumin mysteri sex duti love	3.0
20	7324.0	299	dreari movi	0.0
21	7708.0	312	irrit soulsearch garbag	0.0
22	8855.0	369	expect laughter ha quash whatev obscen hand	1.0
23	1057.0	39	judg thi one too soon	2.0
24	2978.0	113	thi sneaki feel director tri dupe viewer take veri import simpli becaus movi ugli look not hollywood product	0.0
25	9592.0	399	would veri sweet inde	2.0
26	6768.0	271	mesmer cinemat poem	4.0
27	5360.0	214	singularli offput romant comedi	1.0
28	6864.0	275	cast audienc intellectu lector in contempl auteur profession injuri	2.0
29	9149.0	382	bunch good actor flail around in caper neither origin terribl funni	0.0
30	1654.0	61	make teeth hurt	0.0
31	8096.0	334	one rare director feel act heart soul cinema	4.0
32	2804.0	108	narr consist unimagin probabl onli way save film aid wisecrack mysteri scienc theater 3000 guy	2.0
33	8947.0	373	twohour version releas in 1990	2.0
34	6222.0	247	feral uncomfort	1.0
35	1800.0	67	smart provoc drama doe nearli imposs get under skin man onli know evil monstrou lunat	4.0
36	2689.0	103	tragedi record tenaci human fighter wa also prison lrb ultim victim rrb histori	2.0
37	1511.0	55	perhap clich call film refresh	3.5
38	4742.0	181	outnumb hit threetoon	1.6666666666666667
39	9263.0	387	feardotcom ha make interest medit ether natur internet otherworldli energi could channel simpli becom routin shocker	1.0
40	157.0	5	aggress selfglorif manipul whitewash	0.5
41	7999.0	328	perhap better celebr unfairli dismiss hero would film nt thi pain forc fals fabric	1.0
42	9085.0	380	nice combin enigmat featur memento hallucinatori drug cultur requiem dream	3.0
43	2615.0	101	green rrb comedi equival saddam hussein readi go un ask permiss preemptiv strike	1.0
44	5894.0	236	in era big star high product valu standard procedur narc strike defiantli retro chord outpac contemporari dare verv	3.0
45	845.0	31	runofthemil action	2.0
46	8239.0	342	wit empathi spare waydowntown acknowledg silent scream workaday inertia stop short indulg charact strive solips	2.0
47	9631.0	402	play up cartoon obviou strength snazzi neglect less conspicu write strength	2.0
48	5294.0	210	depress ruthlessli pain deprav movi equival stare open wound	0.0
49	1199.0	44	thi 100minut movi onli ha 25 minut decent materi	1.0
50	3643.0	137	intrigu downright intox	4.0
51	2668.0	102	malcolm lee	3.0
52	1623.0	60	smart new comedi	3.0
53	2220.0	84	invent fun	3.0
54	4122.0	155	uninspir	0.0
55	6395.0	254	comput anim handsom variou amus sidekick add muchneed leviti otherwis bleak tale	2.0
56	4725.0	180	in magic realism	2.0
57	8165.0	337	in right place	3.0
58	5429.0	217	superflu sequel plagu old familiar feel let get thi thing over everyon ha shown up appoint time place visibl enthusiasm mighti hard find	1.0
59	6620.0	264	one sens in world travel in hi earlier film freundlich bear grievou obscur complaint father circl obsess without make contact	1.0
60	5097.0	199	thi superior horror flick	4.0
61	8484.0	352	hard believ relationship like holli marina could surviv hothous emot teendom	2.0
62	223.0	8	thick wit play like read bartlett familiar quotat	2.0
63	3541.0	132	delici pulpi lurid fiction	3.0
64	9466.0	394	avers usual feelgood followyourdream hollywood fantasi	2.0
65	5321.0	211	bring proper convict hi role lrb jason bourn rrb	3.0
66	1735.0	65	film despit gratuit cinemat distract impress upon still good fun	3.0
67	7752.0	315	seem disappointingli thin slice lowerclass london life despit titl amount surprisingli littl	1.0
