	PhraseId	SentenceId	Phrase	Sentiment
0	39654	1893	someth new	3
1	56036	2802	film editor	2
2	140518	7625	unusu biopic document	3
3	129586	6968	hi brawni frame cool compos deliveri fit bill perfectli	2
4	104116	5490	skip thi dreck rent anim hous go back sourc	1
5	34351	1612	get caught up in rush slapstick thoroughfar	1
6	21612	966	ferrera ontivero	2
7	78853	4058	frequent unintent	2
8	9158	382	in caper neither origin terribl funni	1
9	134014	7232	frequent	2
10	14729	635	ha string ensembl cast romanc recent	2
11	72279	3694	teen in love hi stepmom	2
12	144488	7844	urban south korea	3
13	17520	759	far stylish	3
14	124366	6680	make better travelogu movi	1
15	119921	6414	seem wast like deniro onc promis career onc grand long beach boardwalk	1
16	48725	2380	conform	2
17	90261	4698	soundtrack alon worth price admiss	4
18	97615	5107	gener slashermovi nonsens not without style	2
19	2327	89	veri differ yet instantli recogniz	3
20	81959	4228	lion king film titu	2
21	103309	5447	cross	2
22	120022	6420	allow use word new in titl becaus not origin charact siuation joke in entir movi	0
23	104628	5524	black red van	2
24	137082	7414	precious	2
25	139809	7587	excit 50 flick	3
26	61124	3089	nt blame eddi murphi nt	1
27	2555	97	origin	3
28	6918	276	one woman broken heart	2
29	20800	928	weird fizzl	2
30	27250	1253	nonchalleng lifeaffirm lesson	2
31	98905	5187	seem motiv noth short dull braindeaden hangov	0
32	79291	4083	fit	3
33	7403	301	no indic	2
34	149520	8138	strongmind viewpoint	3
35	90141	4692	never truli come care main charact whether not wind up togeth	1
36	2795	107	art	2
37	125800	6758	epp score	3
38	5796	230		2
39	16371	704	struggl	2
40	13896	598	last time saw movi want badli protagonist fail	0
41	65494	3317	everyon themselv	2
42	90123	4691	actual produc either north south vietnames	2
43	150613	8209	ludicr term	1
44	56686	2848	unattract odor	0
45	18823	826	face	2
46	142778	7748	suppos drama	2
47	5056	198	get impress writer director burr steer know territori hi sens humor ha yet lose smug selfsatisfact usual associ better privat school	1
48	50487	2483	brat	2
49	37290	1770	rigid blair witchstyl commit	2
50	5941	237	fest put hair chest	3
51	6279	249	comed construct	2
52	142907	7756	flatul gag fit holiday concept	2
53	135726	7333		2
54	8252	342	acknowledg silent scream workaday inertia	3
55	124376	6681	histori	2
56	81169	4182	showboat	2
57	71265	3635	toss	1
58	107999	5714	powerpuff girl movi	2
59	24312	1104	imag	2
60	150307	8186	2day old coke	1
61	114433	6086	enough plucki british eccentr	1
62	138821	7524	tri ether end up seem goofi	1
63	120512	6443	cold mosqu	2
64	143018	7763	strang wane inconsist ultim unsatisfi drizzl	2
65	149121	8114	lurid melodrama	2
66	155518	8512	contemporari music busi	2
67	33980	1597	craven	2
68	144068	7818	cinema seat	2
69	77790	3999	mindless without peak thing insipid	1
70	76282	3916	nt realli	2
71	135916	7341	masterpiec	4
72	106878	5644	uneven film part	1
73	21004	940	not read book	2
74	137761	7455	plastic knickknack	1
75	133295	7192	dream world	2
76	136317	7370	respect ventur term lack broader vision ha seen certain trek film cross over mainstream audienc	2
77	36134	1707	home alon film	2
78	33939	1594	vertic limit	2
79	70008	3563	claim street credibl	2
80	124882	6711	mere creat outlin role still need grow role ford effortlessli fill author	3
81	75699	3880	tell kid not act like pinocchio	2
82	77016	3961	address hi world war ii experi	2
83	143792	7803	good insid dope	3
84	96327	5032	showcas scenic splendor mountain legendari actor michel serrault film less success level	3
85	109916	5822	moodi	2
86	19598	861	lax	1
87	42762	2064	brim coltish neurot energi hold screen like true star	4
88	121129	6486	us	2
89	76662	3942	rock ha great presenc one battl anoth not one battl follow killer cgi effect	2
90	41665	2005	long	2
91	100998	5305	biggest name in japanes anim	4
92	86456	4476	ultim heartbreak	2
93	140773	7637	one underr profession deserv rare receiv	2
94	73935	3781	gay straight	2
95	87374	4531	adult	2
96	50896	2505	peski mood jealousi	1
97	32487	1522	penetr undercurr	2
98	147521	8028	film compet	2
99	1201	44	100minut movi	2
100	113749	6045	way elud nation settl	2
101	139149	7542	messag espous in compani previou video work	2
102	137962	7464	in portrait cuban leader fidel castro	2
103	76668	3942	one battl anoth not one battl follow killer cgi effect	2
104	29193	1351	delv passiveaggress psycholog codepend struggl selfesteem	1
105	4641	176	thud	1
106	70714	3604	credibl case report	3
107	98063	5137	lazi arrog thing alreadi know	1
108	97688	5114	origin american product	3
109	155542	8513	ray	2
110	61032	3084	famou prima donna floria tosca	2
111	98299	5151	diss	2
112	61539	3110	aweinspir	4
113	50660	2491	movi littl tire	1
114	128624	6918	raw vital	3
115	47130	2297	japanes hollywood cultur	2
116	145617	7915	ignor	2
117	64319	3255	stuffiest cinema goer	1
118	43745	2121	special annex	2
119	135219	7299	brown sugar turn out sweet enjoy fantasi	3
120	58421	2943	astonish	3
121	15467	662	one shtick	2
122	48822	2383	lead up strang sinist happi end	3
123	24302	1104	commentari nachtwey	2
124	129749	6983	bad premis bad movi	0
125	110047	5828	not gener	2
126	29370	1360	testosteronecharg	2
127	15336	657	lust	2
128	102735	5412	essayist	2
129	86932	4507	shame marvel first 101 minut combin misconceiv final 5	1
130	149487	8136	wear somewhat cumbersom 3d goggl	1
131	131499	7086	merg hi collabor symbol imag hi word insinu exampl in hollywood onli god speak press	3
132	28179	1295	in art film	3
133	8555	354	purport hollywood satir wind up kind film target someth deeper engag	1
134	46940	2287	deliv few moment inspir amid bland anim simplist stori	0
135	148713	8090	moral ascens	3
136	14773	635	tragic rrb	1
137	97136	5078	lousi	2
138	26667	1223	cowritten mattel execut lobbyist	2
139	111093	5887	nerd sequel	2
140	75628	3877	life	3
141	42546	2050	good human	3
142	101001	5305	in japanes anim	2
143	3969	150	errol morri	2
144	139267	7549	worst dialogu	1
