	PhraseId	SentenceId	Phrase	Sentiment
0	84883.0	4390	jackson tri keep plate spin best bounc back forth ca nt help becom bit tediou even breathtak landscap villain varmint distract ricochet	1.5
1	41276.0	1981	muddl repetit rag say far less horrifi histor realiti filmmak characterist style	0.0
2	118544.0	6334	unexpect thing die in thi shower blackandwhit psychedelia quit beauti	3.0
3	43647.0	2115	beauti produc	4.0
4	78948.0	4062	moment real pleasur found in sara sugarman whimsic comedi veri anniemari not enough sustain film	2.0
5	25374.0	1160	cockey shot way	1.0
6	8368.0	348	saw thi movi well probabl not accur call movi	1.0
7	122422.0	6565	farc parodi comedi premis nt comparison realiti much commentari knowledg film	2.0
8	85154.0	4404	attempt complic stori	1.5
9	102591.0	5401	onli problem end no one in audienc film seem realli care	0.0
10	57692.0	2908	work too hard thi movi	1.25
11	101390.0	5330	go out limb	2.333333333333333
12	43970.0	2131	deserv heart win still 20 year later	3.333333333333333
13	33709.0	1583	trust stori set out tell	3.333333333333333
14	118683.0	6344	hoot watch rock chomp jumbo ant pull arrow out hi back leap unscath rage fire	3.25
15	136267.0	7367	entertain despit onejok premis thesi women venu men mar inde get togeth	2.5
16	19229.0	844	natur funni film home movi make crave chri smith next movi	4.0
17	136307.0	7369	sweet funni charm complet delight	4.0
18	72905.0	3723	possess in end honor interest failur	2.0
19	7147.0	291	got david lynch jone	2.0
20	94505.0	4933	beauti reclaim stori carmen recreat in african idiom	3.0
21	27639.0	1269	mariah carey give us anoth peek magic saw in glitter in wisegirl	3.0
22	90969.0	4732	funni littl movi clever dialogu likeabl charact	4.0
23	116571.0	6216	make worth trip theatr	3.2
24	45142.0	2192	weak ineffect ghost stori without conclus pay	0.3333333333333333
25	120718.0	6457	extraordinari dramat experi	4.0
26	21642.0	969	pull rug out under readi hate one charact realli sympath anoth charact someth happen send in differ direct	2.0
27	65381.0	3311	somber pace lack dramat firework make green dragon seem like medicin entertain	0.0
28	106422.0	5621	murphi wilson actual make pretti good team project surround distressingli rote	1.5
29	123683.0	6642	passabl enough shootout in ok court hous life type flick	2.0
30	146474.0	7968	still not everi lowbudget movi must quirki bleak happi end no cinemat sin	2.0
31	56265.0	2821	find root monster in horror movi know pictur in troubl	0.0
32	77713.0	3997	someth ultim scorses film stomachturn violenc color new york gang lore hallmark hi person cinema paint largestev histor canva	4.0
33	100992.0	5305	bring togeth biggest name in japanes anim impress result	3.5
34	55303.0	2758	in thi film least see studi in contrast wide rang one actor limit rang comedian	2.0
35	27059.0	1244	smart movi know classic music know freud know sade	3.6666666666666665
36	55622.0	2778	onc laughabl compuls watchabl in commit dumb	2.0
37	153053.0	8357	good film must baffl folk in market depart	3.0
38	134768.0	7275	hit everi clich come expect includ assumpt crazi peopl innoc childlik inher funni	0.6666666666666666
39	142159.0	7712	drama like thi	2.0
40	26947.0	1237	promis georgianisra director dover kosashvili	2.5
41	67769.0	3442	whenev think seen end movi cut new scene also appear end	1.0
42	78104.0	4020	13 month 295 preview screen sinc last walk out movi resid evil realli earn indign preemptiv departur	0.5
43	68785.0	3494	although god great address interest matter ident heritag hard shake feel wa intend differ kind film	1.0
44	103974.0	5483	show uncanni skill in get under skin charact	3.0
45	57470.0	2899	complic plot banal dialogu	1.0
46	152911.0	8347	rare lightli entertain look behind curtain separ comic peopl laugh in crowd	4.0
47	155769.0	8526	santa claus 2 bare adequ babysitt older kid	0.6666666666666666
48	96227.0	5027	no thing sort minimalist beauti beast in thi case beast definit get top bill	3.0
49	134478.0	7254	uncomfort time relev sickeningli real	2.6666666666666665
50	68620.0	3484	enigma wellmad too dri too placid	1.5
51	32172.0	1507	best look stylish	3.0
52	36425.0	1723	know sens humor lot warmth	4.0
53	102774.0	5416	lrb rrb espit familiar subject matter ice age consist amus engross	3.0
