	PhraseId	SentenceId	Phrase	Sentiment
0		7912	mani	2.0
1		5452	profund	2.5
2		7613	persuad	2.6666666666666665
3		5577	approach	2.0
4		2529	hook	2.25
5		1120	screen	2.0
6		3704	adolesc	2.0
7		3549	infiltr	2.0
8		6199	blingbl	2.0
9		1667	nice	2.4545454545454546
10		2251	park	2.0
11		3090	bore	0.5625
12		6986	promis	2.4285714285714284
13		2815	daydream	2.0
14		2566	kind	2.272727272727273
15		3347	boot	2.0
16		5242	ozpetek	2.0
17		6970	enthral	3.25
18		166	interest	2.5161290322580645
19		42	gallo	2.0
20		7881	reassuringli	2.0
21		837	sacrif	2.0
22		179	nostalg	3.0
23		772	chiaroscuro	2.0
24		3973	wa	2.0
25		3438	excess	2.0
26		1052	fine	2.636363636363636
27		342	spare	2.0
28		1559	parlor	2.0
29		6303	seigner	2.0
30		1293	momentum	2.0
31		1472	film	2.0144927536231885
32		7386	misti	2.0
33		2057	want	2.0869565217391304
34		606	period	2.1666666666666665
35		2191	runon	2.0
36		4720	sharpli	3.0
37		357	motion	2.0
38		461	quintessenti	2.0
39		995	70	2.0
40		2074	stuf	2.0
41		135	closur	2.0
42		3722	behindthescen	2.0
43		7223	salient	2.0
44		8384	dogtag	2.0
45		98	definit	2.2222222222222223
46		1363	ile	2.0
47		1483	grabowski	2.0
48		8395	get	2.1538461538461537
49		3384	kilt	1.6666666666666667
50		383	illconceiv	1.3333333333333333
51		4587	wildean	2.0
52		8015	sensation	2.0
53		6248	nesbitt	2.0
54		954	embalm	2.0
55		3995	exuberantli	3.5
56		5700	viciou	1.5
57		3139	women	2.083333333333333
58		674	asset	2.4
59		1517	mummi	2.0
60		5828	veget	2.5
61		2121	lung	2.0
62		2334	visionari	3.0
63		1383	make	2.066666666666667
64		3954	stay	2.25
65		3070	combat	2.0
66		1175	environ	2.0
67		37	feel	2.0
68		1484	uplift	3.0
69		853	oncamera	2.0
70		79	nt	1.8571428571428568
71		6227	corni	1.6666666666666667
72		613	disapprov	1.0
73		636	debt	1.5
74		1240	reassur	2.333333333333333
75		4	opera	2.0
76		868	enhanc	2.6666666666666665
77		5693	life	2.095238095238096
78		1770	grandios	2.0
79		2220	intellig	2.736842105263158
80		7547	tire	1.0
81		1388	state	2.0
82		1146	unimagin	0.6
83		2792	control	2.0
84		6166	turturro	2.0
85		3096	gaza	2.0
86		1589	conduct	2.0
87		8173	er	2.0
88		2249	breillat	2.0
89		8452	surrend	2.0
90		5658	away	2.0
91		1289	manifesto	2.0
92		2000	execut	1.8888888888888888
93		211	bourn	2.0
94		3347	favor	2.4
95		7852	jackson	2.0
96		300	vacuum	2.0
97		6637	fugit	2.0
98		3354	heart	2.3076923076923075
99		6098	vista	2.0
100		5774	observ	2.1666666666666665
101		5105	hickenloop	2.0
102		2286	reduc	2.0
103		4221	mutat	2.0
104		5815	porno	1.0
105		4928	tearjerk	2.5
106		3084	scarpia	2.0
107		5822	moodi	1.6666666666666667
108		6385	wideey	3.0
109		6140	gener	1.9565217391304348
110		4564	liabil	1.3333333333333333
