	PhraseId	SentenceId	Phrase	Sentiment
0		5846	tomfooleri	2.0
1		1171	sluggish	1.0
2		5064	unemot	1.0
3		6719	creaki	2.0
4		1769	steal	1.0
5		1627	signific	2.0
6		2100	closet	2.0
7		3908	awesom	3.5
8		3920	tchaikovski	2.0
9	110553.0	5859	nearmasterpiec	4.0
10		3663	brood	1.5
11		3364	kitsch	2.0
12		3217	bartlebi	2.0
13		5683	sappi	1.5
14		264	earlier	2.0
15		6076	1952	2.0
16		220	milquetoast	1.0
17		2414	highoctan	3.0
18		328	fals	1.0
19		3319	underinspir	0.0
20		3653	kin	2.0
21		7312	allison	2.0
22		577	unpaid	1.0
23		8415	aloft	2.0
24		5990	writerproducerdirector	2.0
25		2371	denmark	2.0
26		3263	enviou	2.0
27		912	african	2.0
28		8048	stupefi	2.0
29		5005	tub	2.0
30		4710	mettl	3.0
31		7451	distress	1.6666666666666667
32		3550	pulp	2.0
33		4933	idiom	2.0
34		6	comedydrama	2.0
35		881	slapdash	2.0
36		893	lewi	3.0
37		7542	espous	2.0
38		1239	sprout	2.0
39		4022	anticip	2.333333333333333
40		6618	wellwritten	3.5
41		4603	grant	2.0
42		3628	thirteen	2.0
43		5631	yearend	2.0
44		7462	compass	2.25
45		7647	hear	2.0
46		5382	sprightli	3.0
47		4614	charit	3.0
48		5945	green	2.0
49		7138	necess	2.0
50		4952	melodrama	2.0
51		1242	smallscal	2.0
52		4981	oomph	2.0
53		6819	rap	2.0
54		306	cliqu	2.0
55		8445	room	2.0
56		5646	cheap	1.25
57		2324	tar	2.0
58		1836	cuss	2.0
59		59	cradl	2.0
60		4518	english	2.0
61		1187	rudi	2.0
62		3435	1989	2.0
63		2802	editor	2.0
64		384	broder	2.0
65		5397	ampl	3.0
66		4463	sobadit	0.6666666666666666
67		7752	till	2.0
68		2926	requir	2.0
69		2074	modu	3.0
70		1375	elabor	2.0
71		4911	boreathon	0.5
72		5671	xxx	1.75
73		8016	compat	3.0
74		7174	empath	3.0
75		5762	blockbust	3.0
76		4403	acolyt	2.0
77		2216	breen	2.0
78		7178	coral	2.0
79		934	pond	2.0
80		2554	everi	2.0
81		4493	nohe	2.0
82		8146	egraveyard	2.5
83		2007	overblown	1.0
84		2625	rule	2.0
85		5907	atafratparti	2.0
86		3073	whoopeecushion	2.0
87		4339	uncon	2.0
88		7439	zwick	2.0
89		5460	welllens	3.0
90		744	dri	1.25
91		1451	stortel	2.0
92		7153	timeout	1.0
93		5648	echelon	2.0
94		4411	holland	2.0
95		4496	1938	2.0
96		3986	nostra	2.0
97		3186	alert	2.0
98		6371	would	2.142857142857143
99		702	determin	2.0
100		1152	yorker	2.0
101		7464	bravo	2.5
102		375	beast	2.0
103		505	gantz	2.0
104		4733	plumb	2.0
105		173	wax	2.0
106		6943	pageant	2.0
107		7609	orchestr	2.5
108		7324	uphil	2.0
109		2935	grave	1.6666666666666667
110		4986	la	2.0
111		31	runofthemil	1.0
112		826	constrict	1.0
113		6727	dustbin	2.0
114		1902	copycat	1.0
115		2457	dialogu	2.0
116		3119	ce	2.0
117		7038	wideawak	2.0
118		39	total	2.0
119		3028	claustroph	2.0
120		2989	postseptemb	2.0
121		1190	unmemor	0.6666666666666666
122		8470	baker	2.0
123		7321	allfrench	2.0
124		4403	smitten	2.0
125		4298	videotap	2.0
126		3695	list	2.0
127		2920	anymor	2.0
128		2127	standout	4.0
129		2792	incap	1.0
130		94	emphas	2.6666666666666665
131		4547	philosophi	2.0
132		2788	trooper	2.0
133		3473	python	3.0
134		66	endless	1.0
135		5460	understat	1.6666666666666667
136		18	veri	2.0
137		2347	vietnam	2.0
138		2998	evid	2.0
139		6924	recapitul	3.0
140		6812	devoid	1.5
141		1523	war	1.375
142		3047	heartland	2.0
143		6211	otherwis	2.0
144	139160.0	7543	scorcher	2.8
145		2993	jaw	2.0
146		1525	jampack	3.0
147		6587	vietnames	2.0
148		7101	whistl	2.0
149		3956	madcap	2.0
150		7892	namesak	2.0
151		758	roller	2.0
152		1855	exasperatingli	1.0
153		5597	win	2.4
154		923	selfdiscoveri	2.5
155		1335	feed	2.0
156		6385	glint	2.0
157		4597	undi	2.0
158		1742	onion	2.0
159		992	exud	2.5
160		1749	partner	2.0
161		3172	downer	1.0
162		1155	80minut	2.0
163		137	intox	2.6666666666666665
164		1540	revolt	1.0
165		3611	horrifyingli	1.0
166		4600	harp	2.0
167		51	clunki	1.0
168		496	summertim	2.0
169		58	myth	2.0
170		27	exclus	2.0
171		4095	massoud	2.0
172		6506	slot	2.0
173		8221	suspend	2.0
174		3093	bug	1.6666666666666667
175		6851	solari	2.0
176		1431	gaieti	2.0
177		2530	parker	2.0
178		819	belgium	2.0
179		200	navig	2.0
180		2674	vaunt	2.0
181		5392	juliann	2.0
182		856	ralph	2.0
183		3287	suddenli	2.0
184		1423	dazzl	3.2
185		6168	undiminish	2.0
186		352	reduct	2.0
187		2645	wore	2.5
188		1701	wallac	2.0
189		5082	soundtrack	2.0
190		1856	insignific	1.0
191		3523	homicid	2.0
192		3130	flurri	2.0
193		4424	lipstick	2.0
194		240	campaign	2.0
195		231	insomnia	2.0
196		6802	discern	2.0
197		1412	madonna	1.5
198		6557	frisson	2.0
199		5440	affectationfre	2.0
200	39914.0	1907	bruin	2.0
201		4338	adrian	2.0
202		5449	sterl	3.0
203		5674	concoct	2.0
204		7537	lowwattag	1.5
205		4773	lazier	1.0
206		5670	bit	2.0
207		4443	associ	2.0
208		3853	compris	2.0
209		4977	ie	2.0
210		874	godard	1.6666666666666667
211		3044	redeem	2.5
212		4414	80	2.0
213		106	societi	2.0
214		7123	mirren	2.0
215		3941	sooner	2.0
216		5838	dismantl	2.0
217		6192	foreground	2.0
218	146590.0	7974	draggin	2.0
219		1883	ransack	1.5
220		457	datenight	2.0
221		2321	fullbodi	4.0
222		1336	korea	2.0
223		4937	malik	2.0
224		6965	audiencepleas	3.0
225		1956	hoult	2.0
226		6001	sillifi	2.0
227		944	boob	2.5
228		4280	cam	2.0
229		2960	wendigo	2.0
230		209	domin	2.4
231		7126	superfici	1.375
232		7945	finest	3.5
233		7626	sometim	2.333333333333333
234		484	warren	2.0
235		4250	russo	2.0
236		8008	treacheri	1.0
237		7510	psychiatrist	2.0
238		1904	upload	2.0
239		581	walter	2.0
240		7446	vicent	2.0
241		4032	clean	3.0
242		1010	blanket	2.0
243		489	stamp	2.0
244		3077	robin	2.0
245		441	claim	2.0
246		2327	larson	2.0
247		6177	myer	2.333333333333333
248		145	brush	2.5
249		6493	irrelev	1.0
250		3268	kill	1.8
251		3921	transcript	2.0
252		2265	nofril	2.0
253		1932	random	2.0
254		2077	picpu	2.0
255		3546	blubber	1.0
256	61834.0	3125	phenomen	4.0
257		1760	ash	2.0
258		1121	genderprovok	3.0
259		7721	dodgi	1.0
260		2187	innocu	2.0
261		8057	uncertainti	1.5
262		3266	reli	2.0
263		2815	strungtogeth	2.0
264		7239	sam	2.0
265		3028	attic	2.0
266		283	copyof	1.0
267		7072	unevenli	2.0
268		3354	loveh	2.0
269		5712	inmat	1.5
270		1252	type	2.0
271		1202	baggag	2.0
272		4286	shrieki	2.0
273		5666	dodg	2.333333333333333
274		1755	inert	2.0
275		5961	oscarnomin	4.0
276		2970	manipul	1.7142857142857142
277		225	blank	2.0
278		507	realm	2.0
279		4390	varmint	1.0
280		3512	immacul	3.0
281		3090	bravura	3.0
282		4014	sprawl	2.0
283		8030	mesh	2.0
284		1439	breathless	3.0
285		2572	calculu	2.0
286		640	bow	2.0
287		2954	hade	2.0
288		3918	rain	2.0
289		2441	edgi	2.5
290		7711	camerawork	2.0
291		5397	thu	3.0
292		1812	suprem	2.333333333333333
293		7750	clout	2.0
294		4052	bangthedrum	2.0
295		3686	fist	2.0
296		1882	pueril	1.0
297		3989	interfamili	2.0
298		1021	unadulter	2.0
299		5572	sleepinducingli	1.0
300		6776	selfdetermin	3.0
301		3985	carlen	2.0
302		566	inexperienc	1.0
303		443	fork	2.0
304		4756	hold	2.333333333333333
305		1537	vice	2.0
306		148	key	2.0
307		396	trash	0.3333333333333333
308		2391	emul	2.0
309		5182	unintent	2.0
310		3280	bitten	2.0
311		171	looselyconnect	2.0
312		6235	wet	2.0
313		7765	makin	2.0
314		6554	ia	2.0
315		121	endur	2.0
316		1813	medium	2.0
317		5813	lowgrad	1.0
318		993	teenspeak	2.0
319		6090	booth	2.0
320		3276	scriptwrit	2.0
321		4416	bellyach	2.0
322		3839	devis	2.0
323		236	defiantli	2.0
324		3794	ruse	2.0
325		6828	sickeningli	1.0
326		2636	soften	2.0
327		1840	olivi	2.0
328		301	princ	2.0
329		218	10thgrade	2.0
330		2663	retrograd	2.0
331		254	sidekick	2.0
332		1558	ram	2.0
333		1541	simmer	2.0
334		2382	morn	2.333333333333333
335		5378	kibbitz	2.0
336		2492	candor	2.0
337		2358	none	2.0
338		3830	agent	2.0
339		1724	careen	2.0
340		301	fellow	2.0
341		1198	lika	2.0
342		102	ridley	2.0
343		5409	bandera	2.0
344		4828	quickcut	2.0
345		4855	dilemma	2.0
346		833	held	2.0
347		8068	storm	2.333333333333333
348		730	burn	1.75
349		5708	autocritiqu	1.5
350		7635	illfit	1.0
351		2846	spectat	2.5
352		537	90	2.0
353		5891	guiltless	2.0
354		2298	leap	2.0
355		1377	1940	2.0
356		771	odour	2.0
357		1118	anem	1.5
358		36	hero	2.6
359		641	confin	1.5
360		1131	born	2.0
361		2889	troubleintheghetto	2.0
362		2342	proprietyobsess	2.0
363		5930	largescreen	2.0
364		430	stab	1.6666666666666667
365		3950	frown	2.0
366		3363	irresist	3.0
367		7228	wildlif	3.0
368		1811	evelyn	2.0
369		206	mont	2.0
370		350	copi	2.0
371		190	cap	2.0
372		2975	dishonor	1.0
373		2605	rash	1.5
374		2559	resid	2.2
