	PhraseId	SentenceId	Phrase	Sentiment
6155	6156	245	real bump-in -	2
8173	8174	338	highly-praised disappointments I	1
10389	10390	437	more as a	2
12148	12149	520	Santa Clause 2	2
12869	12870	553	Stuart Little 2	2
20634	20635	921	lousy John Q	1
21574	21575	965	-- ironically -	2
25078	25079	1146	romantic comedies I	2
25978	25979	1189	Spy Kids 2	2
26563	26564	1218	your random E	2
28354	28355	1309	of Jason X	1
29511	29512	1367	not number 1	1
30853	30854	1436	Tunisian film I	2
47055	47056	2295	more than a	3
50686	50687	2493	American History X	2
53839	53840	2673	nails hard -	3
59261	59262	2990	A hit -	3
62268	62269	3148	totally weirded -	1
77275	77276	3975	up for a	2
80385	80386	4142	so often a	2
85633	85634	4428	Under Siege 3	2
86311	86312	4468	puts the X	2
86946	86947	4507	misconceived final 5	1
91158	91159	4741	for you -	2
91841	91842	4779	feel alive -	3
94038	94039	4906	do best -	3
101113	101114	5314	tiresome as 9	1
101821	101822	5359	Toy Story 2	2
108153	108154	5721	- as-nasty -	1
111934	111935	5941	even punny 6	2
115173	115174	6134	of Pokemon 4	2
120740	120741	6460	Slap her -	2
132970	132971	7171	it stands I	2
134307	134308	7246	one adapted -	2
139042	139043	7536	turns John Q	2
148510	148511	8080	just not a	2
153420	153421	8379	a taunt -	2
154863	154864	8470	much as 8	2
